steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
13862	55	188.64809441566467	-124.01976213991526	-119.20091635644576	25.805405150471017	-83.92810048692266	-191.3262117117651	-2.4313965	-2.5579152	3.6246534621715547	3.706187595129013	0.8136619527637958	5681	11363
25200	67	461.79912972450256	-87.39229682432106	-82.87761600885739	11.904268068182903	-73.88176130805584	-137.11853417429865	-2.2727313	-2.2799964	2.669696263074875	2.2497533917427064	2.305532521307468	11350	22701
38689	87	736.7304663658142	-129.04870954663892	-126.69338135181128	26.469698951534728	-73.83464567209911	-182.96533967365008	-6.1617665	-6.2450223	1.7268674862384796	1.3378374588489532	5.549466209411621	18095	36190
50232	98	860.2158639431	-104.19925498736988	-103.83739558383947	2.0456076999074386	-101.66349771282015	-114.43942024717015	-6.1166806	-6.1892796	0.8729055744409561	0.6453163081407547	5.865894908905029	23866	47733
63514	112	1001.0525815486908	-106.84258746240596	-106.30355357912106	3.0329482560186736	-90.24807460502124	-116.39779801148175	-7.5472054	-7.493146	0.6658524411916733	0.6229759609699249	6.563374199867249	30507	61015
75309	126	1201.9951012134552	-89.14342795011932	-74.56598677812437	37.61039185587999	-39.248351482004566	-140.19680605626667	-6.6088223	-6.727091	0.5981040343642234	0.6073463821411133	6.343819618225098	36405	72810
88591	139	1490.2824273109436	-42.16873364213157	-40.57179653089728	9.976671529913254	-35.16949797035875	-108.3158202478858	-6.573845	-6.4775066	0.7256777772307396	0.614622553139925	6.401452374458313	43046	86092
101391	147	1773.4870314598083	-73.86322845479921	-73.76378539206554	8.424690100541719	-56.578229210456556	-92.44046149186266	-6.8187814	-6.816791	0.5140541207790374	0.42171063549816606	6.54251392364502	49446	98892
112591	154	1955.2075803279877	-85.88221487048487	-113.21000967675056	37.8968791199366	-33.86391689411729	-131.34205602758743	-7.030083	-7.047351	0.410972208827734	0.3634275597333908	6.447976016998291	55046	110092
125782	169	2238.980204105377	-56.461062332535796	-55.88000617966513	11.667444290349422	-26.141907069571648	-113.12447514338501	-5.8912687	-5.876131	0.45936209946870804	0.37937594167888167	6.181519794464111	61641	123283
138825	180	2508.2365441322327	-88.90525174672158	-90.93082263146054	21.342762097548096	-25.11465985376511	-145.82640064962877	-6.335027	-6.2932425	0.33120336025953295	0.31363225281238555	6.092578101158142	68163	136326
150110	188	2685.2763810157776	-96.26435700386301	-103.7923369596737	17.210147817680163	-52.23318426456669	-120.30024978477752	-5.7509785	-5.7444944	0.4177055659890175	0.2622352576255798	5.887812871932983	73805	147611
163116	198	2970.522565126419	-55.91699697958671	-55.33517203361815	11.146627828523485	-34.23546243081593	-134.4340084010903	-5.602911	-5.5656924	0.29396718837320807	0.23181558821350337	5.863926734924316	80308	160617
175916	206	3243.6297447681427	-69.75090509857527	-75.02794782306664	23.33813067836853	-30.171361892833957	-127.61857786927217	-6.212327	-6.2204566	0.3730603667348623	0.32777228973805905	5.766358466148376	86708	173417
188780	215	3525.536100625992	-31.923117541985953	-27.76500316029081	20.865710542867696	2.2843673888841898	-120.53702194573934	-6.649741	-6.593749	0.3565038312226534	0.29828031562268736	5.891632061004639	93140	186281
201580	223	3806.4216153621674	-64.34580108472036	-64.2049154698508	8.627830369992544	-46.51306090898944	-97.83543265791096	-6.651234	-6.680865	0.3135800092667341	0.27295717351138593	5.621640205383301	99540	199081
212780	230	4064.209044933319	-21.000141623735306	-5.931993019665194	38.62413374676907	26.47894933474809	-110.07540101822279	-5.814417	-5.790133	0.297253791987896	0.31736374221742153	5.409171724319458	105140	210281
225657	239	4341.321713209152	40.20844661169825	52.73814071707194	37.69019243733813	76.1047269850472	-131.28034208219128	-5.1756606	-5.1539626	0.23658195160329343	0.2333158427104354	4.866064481735229	111579	223158
238457	247	4585.450480699539	121.26462044038654	121.72202133906195	7.559055600283296	136.72258039978496	104.31129460601181	-4.090806	-4.0769224	0.28679716512560843	0.2955788286402822	4.231863245964051	117979	235958
250000	256	4806.183201789856	25.90613540986778	70.33587719994472	89.30697473411337	130.73487486968375	-136.06883709983492	-3.528071	-3.5634985	0.2533078755438328	0.21508602641522884	3.2264904618263244	123750	247501
