steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
12523	19	191.0875108242035	852.563121574221	918.9032891215284	225.48055106983324	940.5216340536861	-26.04904250521702	13.746026	13.729258	0.25995252557098864	0.2370752254873514	-14.36913254737854	5012	10024
25841	35	424.2170081138611	893.8688849822593	1275.0751045072525	703.148760871819	1539.1854510124485	-1796.349156875458	31.77104	31.797392	0.3200214599072933	0.32130104914307595	-32.47975786209106	11671	23342
37899	54	612.3077108860016	590.7191845061727	452.5760333859316	441.74059885159346	1837.5742320878444	58.83062350869136	47.009407	46.904224	1.0638549500703811	1.0618275088071822	-47.452679557800295	17700	35400
50958	71	830.8663942813873	1149.6634199552484	1116.109753936781	684.5980315273584	2176.7981445972455	19.238962263427293	60.071423	60.115093	1.5866732335090636	1.60996910572052	-60.04019783020019	24229	48459
62560	86	1035.393081188202	1611.1869334284982	2091.3309511982557	770.909715801048	2328.601860602263	-424.12919592731294	68.16862	68.0858	2.5186756467819214	2.397701221704483	-70.48561019897461	30030	60061
75648	101	1272.4609198570251	2008.0362016695065	2289.0473483632322	660.5849071784146	2447.6543630563883	-1141.467018647427	79.60632	79.62013	3.019523947238922	3.0818055963516233	-81.28991607666016	36574	73149
87666	116	1500.0916574001312	2244.3194723134384	2326.7083999213046	308.3181098675988	2435.0089133306724	581.3662565110473	87.46629	87.44897	3.566126039028168	3.4477007818222045	-88.82555618286133	42583	85167
100117	129	1727.101230621338	1990.2501488983207	2377.359952103434	765.3209437008838	2526.7075541601353	6.264561117110857	94.32952	94.42364	3.6076267552375794	3.5870336365699766	-96.41221870422363	48809	97618
113436	146	1968.8314814567566	2085.754967014703	2302.0541088241416	565.3531926117129	2408.697431809681	3.0198479169767616	100.2107	100.33425	4.558589382171631	4.356900053024292	-104.6473942565918	55468	110937
125021	162	2183.801506757736	2380.901651103275	2573.761614042921	607.6247149745326	2681.6658677856412	83.06767568809994	107.30092	107.1471	4.676061978340149	4.615507054328918	-110.84177833557129	61261	122522
137649	178	2419.766656398773	2381.124797884165	2593.844822933939	586.7476789478822	2728.8936390006584	230.27862608200059	114.07087	114.126854	5.206179051399231	5.231653497219086	-115.68945335388183	67575	135150
150209	193	2647.1299254894257	2399.9666652870715	2587.696103549869	533.0953824907314	2702.536538886427	369.81031665572635	118.29518	118.43153	5.541068403720856	6.035155093669891	-120.78571647644043	73855	147710
162691	207	2888.3668677806854	2512.005517091603	2713.1566393769153	702.71858459548	2843.0173213881158	-1609.2230103886125	122.839325	122.85991	5.1233293104171755	5.896826858520508	-124.11502868652343	80096	160192
175920	221	3133.548565864563	2417.2192381596333	2661.1274595359764	621.8218601357923	2754.311479197221	109.05930808022057	127.90594	128.06662	5.529629061222076	5.701968400478363	-127.44627944946289	86710	173421
187914	235	3363.516470193863	2419.38409983775	2696.2313129954614	704.4496487207865	2852.198655077473	47.37716319544326	129.44742	129.5623	5.872466895580292	5.650110838413238	-131.26800804138185	92707	185415
