steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
6562	6	4.595371961593628	-107.4225190756074	-118.4908907223416	35.09081770406907	-7.553567866772986	-118.84047214416834	nan	nan	nan	nan	nan	0	0
10106	11	7.422866106033325	-115.95685883594702	-115.91446585603245	0.19950255943977424	-115.74432048659834	-116.30710109763592	-0.11119642	-0.12005092	2.0020563732855954	2.0025903061730785	0.03236453853564596	53	107
15912	54	47.79512667655945	-116.86650094418377	-116.62367081388409	1.9942920746020085	-113.58013917564043	-120.9973813094776	-2.1655898	-2.1232796	0.7143434818089008	0.6316050730086863	2.040861070454121	2956	5913
20592	63	92.32000041007996	-78.25842961006757	-72.39763702856492	15.926578485026969	-70.27358265976322	-122.5179925823483	-3.6523228	-3.6788507	0.8008353333547711	0.8750473513454199	3.7251363468170164	5296	10593
25392	66	137.51036429405212	-54.800300054748895	-53.93946024457266	1.9527065841330882	-53.51431455364834	-59.92594357563229	-4.0875554	-4.0607343	0.5129122064635158	0.4513616781681776	3.3735459366440774	7696	15393
30192	69	182.87487936019897	-106.72460583189559	-106.85864674390659	11.58086607801909	-91.43242553887643	-120.51248128680042	-3.5704222	-3.5669262	0.26774392057210206	0.2567763387411833	3.028839398622513	10096	20193
36046	73	235.65150237083435	-100.18878312796932	-99.08104602095452	4.318075104851113	-95.31156284280826	-106.77274201011211	-3.296041	-3.2907698	0.25228508058935406	0.23595191236585378	3.3349034070968626	13023	26047
40846	76	281.41447710990906	-89.9850849970561	-90.02490050020438	1.8280470775158244	-86.38059267852805	-92.95247471156694	-2.3442938	-2.3365977	0.26681795667856933	0.2690282401815057	3.010107671618462	15423	30847
45899	83	327.31187748908997	-100.18813571608185	-91.6094585856014	17.85541127694987	-91.48785948501478	-138.13749440731914	-2.689768	-2.700643	0.22928058706223964	0.23281442645937203	3.3985310769081116	17950	35900
50699	86	366.7047517299652	-85.06865760682386	-83.41837333791497	26.516834984386723	-58.462854793408695	-132.04971492326507	-3.5633352	-3.5656333	0.22514015337452292	0.22939072335138916	3.4271726596355436	20350	40700
55561	90	412.22450065612793	-67.94858358548935	-69.66623676490285	6.047568327780856	-54.59148270173668	-75.37325921947763	-3.5435405	-3.5374646	0.1957723200879991	0.18878811303526163	3.571867369413376	22781	45562
60361	93	457.6676552295685	-91.30609368923697	-89.7286485162189	5.921624532751427	-83.0687896588881	-100.81485608196844	-3.857155	-3.840379	1.1772703618742526	1.0033334976807238	3.404485704898834	25181	50362
65258	97	503.71446466445923	-48.17298801009714	-48.84028108556054	3.0857963955587784	-40.79324413933225	-51.324987861085276	-3.6299317	-3.6366339	0.21913249911740423	0.21934253688901661	3.5106909024715423	27629	55259
70058	100	549.0054194927216	-44.33240960579565	-43.532021082906084	2.6264466920618514	-41.66525856910689	-50.219373085788796	-3.6521893	-3.6268103	0.15359526668675244	0.14399986185133457	3.4810327219963075	30029	60059
76458	104	605.2044250965118	-51.13702132660272	-51.892801044673845	17.830053993167414	-32.406309894268745	-69.65470778750735	-3.9317846	-3.9306002	0.20935167266055943	0.23481066219508648	3.5550283217430114	33229	66459
81308	108	647.5663650035858	-71.45078014995535	-58.654854848824826	26.04966870567174	-51.7527427999321	-109.96416341885242	-3.8994195	-3.8761208	0.14202938139438628	0.1714345286693424	3.724592807292938	35654	71309
86108	111	693.0046236515045	-59.27222086412994	-57.47185958604082	5.645852962985805	-53.6681737338636	-70.32227740622452	-3.973539	-3.9558547	0.1455771259777248	0.18508857276290655	3.9894000625610353	38054	76109
90908	114	738.7603394985199	-40.33825471625228	-40.05328512030242	1.0405050716430402	-39.388089286689755	-42.47179458273323	-4.1693606	-4.1699123	0.16161510964855552	0.15294714165851475	4.061255748271942	40454	80909
95708	117	784.2205903530121	-24.831907581283602	-24.100598623429125	1.72544785751725	-23.10040776417116	-27.405571139442934	-4.714653	-4.7266345	0.17902087859809399	0.19334937872365118	4.094568152427673	42854	85709
100508	120	829.5036182403564	-38.32280092409944	-38.1573902077137	5.2004512892928165	-26.324619115387726	-47.12260043478602	-4.660759	-4.629966	0.28539413831196725	0.2765981187298894	4.139333879947662	45254	90509
105308	123	875.1734147071838	-47.373373256093096	-45.98070272055243	2.7122927859550447	-44.75497073797089	-51.5912354174722	-4.495557	-4.4971123	0.11826008493080735	0.13500668758060783	4.134729835987091	47654	95309
110108	126	920.5660727024078	-31.0896353424981	-29.98025364496533	2.872951232598459	-29.381831649612817	-38.87349339291849	-4.465916	-4.4769616	0.19543364794924856	0.1875567869283259	4.265551879405975	50054	100109
116508	130	976.9774742126465	-33.627118656423846	-33.783173046590235	0.5909746401404286	-32.558389860139684	-34.582077234547	-4.5231605	-4.505208	0.172826547017321	0.18987961869686842	4.190776963233947	53254	106509
121308	133	1022.6710457801819	-30.95626412490779	-31.143101605577954	1.200999385057498	-28.266356219511874	-32.44603562313342	-4.1012077	-4.111999	0.12260728277266025	0.11917976603843272	4.0186030340194705	55654	111309
126108	136	1068.324471950531	-50.36723384388666	-45.82910223574483	16.23924283212915	-39.57088558901483	-94.82576505295256	-3.763193	-3.7622085	0.1819798389915377	0.20159640593454242	4.124742336273194	58054	116109
131503	146	1118.0216019153595	-47.00762873597507	-46.88563189498161	1.4302360425794787	-44.92595167844174	-49.51216699442031	-4.726383	-4.7522497	0.6938388760760427	0.722885513342917	4.096015436649322	60752	121504
136303	149	1163.4114067554474	-51.82870828690374	-32.660859027984955	41.398548261561395	-30.028278314739758	-130.51768054148124	-4.1124206	-4.1231136	0.2654971286654472	0.228729568105191	4.2424282908439634	63152	126304
141103	152	1209.1275153160095	-51.81042727901857	-52.118373055315985	1.307532348346721	-49.90803450042716	-53.31260472231842	-3.898565	-3.9056993	0.27811167131178083	0.2514026887295768	4.420569081306457	65552	131104
145903	155	1254.650148153305	-41.96819612775766	-39.04644448899401	6.7660693340245235	-38.1529451266155	-58.98517391615438	-4.6533084	-4.6392355	0.30706361356191336	0.30743223074823617	4.491584320068359	67952	135904
150703	158	1299.9291169643402	-159.23386163401898	-152.66978669350522	20.66154951946095	-149.49219387220654	-217.8729574313717	-4.348246	-4.347659	0.259166798396036	0.2527074982225895	4.334364807605743	70352	140704
155903	167	1348.0613515377045	-77.5136803101541	-71.35934902736489	21.117261465013218	-54.89309988094226	-108.12513302616915	-4.528719	-4.4984636	1.072799477558583	0.6321866637282073	4.4469808888435365	72952	145904
160703	170	1393.6994245052338	-23.694649051450682	-22.619970881289145	4.0107985140074565	-21.321903576626372	-34.97959207796082	-5.174922	-5.162593	0.21202615110203624	0.23998391009867193	4.457383844852448	75352	150704
165503	173	1439.3397679328918	-35.23008824243013	-36.13672761603688	5.105226098857431	-28.91348848934381	-42.52061351093241	-4.5143595	-4.5360227	0.15669585627503693	0.1454045110568404	4.334653618335724	77752	155504
170303	176	1484.7301907539368	-53.726228320838324	-53.593559082833536	2.5537053958390943	-48.64893980559668	-56.97296680178063	-4.496327	-4.516167	0.1683565175207332	0.164335872028023	4.191179850101471	80152	160304
175103	179	1530.1918966770172	-52.88327728290805	-52.52292691663923	1.2918080775866514	-51.335893398829434	-55.66251406144801	-4.411786	-4.4202247	0.09348548390436917	0.10148409595247358	4.24930850982666	82552	165104
181503	183	1587.027975320816	-44.60579566370845	-44.52848150127749	1.5488807161192188	-42.20909081877726	-46.61452796166131	-4.784997	-4.7659593	0.11793719503097236	0.12051635274663568	4.143162002563477	85752	171504
186303	186	1632.7686176300049	-35.805838768955645	-35.94166480315666	1.142165315646079	-33.22625333094184	-37.248787402796474	-4.4704294	-4.482005	0.10556236478034407	0.08757282077334821	4.077510244846344	88152	176304
191103	189	1678.4931290149689	-33.74879609841049	-33.36589655839224	1.32433444252421	-31.434313601522827	-35.73283208212758	-4.206966	-4.239421	0.11139218334574252	0.13468526290962474	4.0914715051651	90552	181104
195903	192	1723.8830950260162	-24.153902569892594	-23.803988634570267	0.9935363329306006	-23.161842039138357	-25.925468433736718	-4.7863965	-4.8248405	0.09252816553693265	0.09090358600020408	4.067538461685181	92952	185904
200703	195	1769.2601296901703	-37.81243360448302	-38.02699112391734	0.775374818739503	-36.11660952217054	-38.605154684844635	-3.5979164	-3.589542	0.14319236073642969	0.13042820523027332	4.050947160720825	95352	190704
205503	198	1814.7052466869354	-26.254561091733255	-28.46301430204049	5.911012505101659	-17.1513913264709	-32.050889879113754	-4.067888	-4.0593696	0.1028782189078629	0.10370684246066958	3.894390091896057	97752	195504
210303	201	1860.7904438972473	-39.9439431711863	-40.513899290896774	1.3587248390733564	-36.64580186137187	-41.016709241805685	-3.9416065	-3.91401	0.09511348051019013	0.0805710520874709	3.968998038768768	100152	200304
215103	204	1906.680285692215	-51.635261472992966	-43.38115596838949	22.51595719999062	-38.22688380987736	-94.94909063245757	-4.1461267	-4.128044	0.15029484007973223	0.11992064516991377	3.798628284931183	102552	205104
221503	208	1963.6823527812958	-26.336052016962043	-26.40005388692645	2.241903400009849	-23.33241132626646	-29.34356774807634	-4.2344913	-4.2310333	0.10952399160712957	0.08801024511922151	3.7733606457710267	105752	211504
226303	211	2009.7984819412231	-43.957134590411755	-44.44145546952055	2.323681253316512	-37.52539236040724	-45.918576363732654	-4.0918436	-4.1019697	0.10500374084338546	0.10352953529916703	3.833146803379059	108152	216304
231103	214	2055.4594304561615	-21.40185526404657	-21.655739377032564	2.12200690428721	-18.11838964300117	-24.664946248567087	-3.9263735	-3.919907	0.10108349003363401	0.09792602857109159	3.673375153541565	110552	221104
