steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
50737	516	89.52470231056213	-176.15644958041426	-73.92394425461156	391.17185696399	-6.144498925073862	-2138.551502204542	-49.84729	9.982942	2077.5197814941407	-0.031948617179878055	1920	0.10321072523743613
100005	1059	178.42423343658447	-114.21352203376993	-44.55549746869532	283.32340635746687	6.693610034250526	-1500.235907197169	-60.94213	8.873809	968.7110668945312	-0.03159864666871726	3840	0.3839385482068134
150011	1675	270.4770221710205	-80.90677580546375	-23.805537389813146	219.6167640745893	16.204305278541494	-1158.951032942567	-57.546482	7.769404	388.84970703125	-0.03349984732922166	5840	0.772324369502347
200881	2348	362.7163722515106	-43.47810170404896	-14.859836080964243	115.24135899228246	24.01827132287758	-615.5358277416972	-104.16366	6.7657156	183.09542999267578	-0.030913412226364016	7840	0.9051270066682985
250326	2849	461.99188017845154	-38.9553624299944	-8.47591107875132	89.86550336869473	56.340494152017975	-343.20544211607927	-74.92162	5.836908	95.15798774719238	-0.03812156811356544	9760	0.8993634166134616
300075	3238	560.0158848762512	18.15134524273679	13.729776361579148	35.71907525677219	120.71250376013415	-100.69823764204747	4.09408	4.7371573	84.93510089874268	-0.03540847856551409	11680	0.5172951771271351
350202	3511	669.8239617347717	73.78899507330324	49.86220359220664	78.29009648345034	314.63679949854685	-48.47103439684482	30.851883	3.7312584	42.10280447006225	-0.03873308915644884	13600	0.6136688928095027
400515	3620	817.2602343559265	269.4418103932848	265.10299881753446	183.81537186373973	726.4469746727445	-1.1530526813683988	60.10095	2.8157718	54.73641246795654	-0.036732953675091266	15600	0.48421678817339986
450116	3690	980.5516474246979	536.8882441790489	602.0063164245305	238.80068027269107	875.0746409342215	12.686968345822166	117.91532	2.143812	184.4335386657715	-0.030943180522881447	17520	0.38205703714823347
500431	3756	1136.7563543319702	618.4607138180276	663.0205354327848	294.52460398729914	1069.4274429961063	20.665637240958006	134.98265	1.6400089	367.9775024414063	-0.03544396053999663	19520	0.320567445004849
550837	3819	1290.9519591331482	776.5168208149237	883.2058574126763	440.0934182965277	1347.2411112650675	2.4413470222414393	179.66978	1.0959653	234.77354774475097	-0.031111739613115787	21440	0.027932237796197468
600392	3894	1436.5914430618286	789.4871447228313	749.526742374875	537.5586243711479	1640.249080848342	8.401765024773521	211.3346	0.7027327	556.3662889862061	-0.035917414519935846	23440	0.23541389995756545
650843	3976	1596.3876106739044	1087.9413309162244	1243.6466701760487	527.4765441426431	1780.0850758929669	20.211813523705523	222.86325	0.3349754	445.4413037109375	-0.03528630565851927	25360	0.8771996523512445
700738	4050	1741.8900859355927	1076.090708134862	1051.5440098051668	613.4886066892445	1993.1356715798697	16.180536814191676	267.62576	0.0077673784	1286.645587463379	-0.033650701828300954	27360	0.24187201812431347
750332	4129	1894.3317654132843	1294.1284167765393	1499.193681713903	671.7568240191467	2170.154375293603	46.99833755576575	290.98907	-0.21004081	2018.449712524414	-0.033714171415194866	29280	0.18850345879778374
800590	4195	2054.9203250408173	1458.4624818912314	1857.9232651906825	692.131382154758	2195.6678880048976	52.41960298384234	310.29224	-0.5752157	924.7413815307617	-0.0318833133392036	31200	0.9219739692979124
850080	4262	2211.9302735328674	1532.1241630688908	1721.4756481825427	794.6935653623733	2522.4219410928818	65.86564113202303	164.09634	-0.96223605	1383.12966796875	-0.03069685091264546	33200	0.8977813173819877
900371	4331	2376.23783493042	1927.495233595228	2344.2768651723854	804.0226064821056	2723.5797967256167	9.248775334419724	380.39374	-1.202431	442.72837829589844	-0.03900936340913177	35120	0.034172412678031616
950090	4401	2541.98330450058	1947.7737016546157	2462.5561273029407	843.1147123995958	2851.143305565614	125.24471920405819	405.4495	-1.5545347	2893.943333129883	-0.038886748664081094	37040	0.49631649308328085
1000000	4471	2705.0627081394196	2026.6737501073708	2631.35079802417	927.3259697280938	2981.555664999588	76.55331665956572	438.62454	-1.8529482	1331.012638244629	-0.028438737583346665	39040	0.27095346281517985
