steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
50063	457	95.79972338676453	-234.65515734344416	-83.82998222958116	474.25343081520094	-20.81674236620018	-2004.9726332051614	-44.757553	9.9168415	1706.700625	-0.030806553675793113	1920	0.10901075612626876
100327	834	188.31153917312622	-117.90841051539866	-41.287260715166134	269.76259794300245	8.020566845127062	-1236.9628099684242	-69.68088	8.556633	651.8474383544922	-0.03289507958572358	3840	0.16996067409928584
150601	1302	285.60997796058655	-86.09208837574786	-34.94466735970629	173.04655294861678	13.747336074261911	-786.4463432504299	-86.2409	7.3580647	273.6238655090332	-0.03349133471027017	5840	0.6971204201665622
200309	1784	379.35093808174133	-39.61945203236935	-17.100139201311876	79.84170065393579	36.982157580862186	-355.10616658284454	-88.205475	6.163887	101.22753913879394	-0.03674469331512228	7760	0.6857292778966078
250643	2195	474.5386850833893	4.682350469808716	3.354605154436571	22.580908337341874	70.01642548057023	-88.35694452255166	-28.326075	5.0991077	66.76784400939941	-0.031491603800095615	9760	0.7546039447688628
300297	2479	580.0403044223785	61.46435343231713	32.85778852372586	81.26314985050165	336.8885913181183	-50.09053996233939	27.034542	3.9701612	53.0995104598999	-0.040311869448050854	11680	0.5763249739970995
350121	2633	709.1424903869629	180.58727245043943	133.61276532997533	142.86995367343488	621.8947497446056	-4.630732582041963	35.61811	3.0711093	56.70856866836548	-0.03822363578248769	13600	0.8310946774005327
400146	2715	867.8804883956909	386.4672671320157	419.6927382478871	209.95678811650274	751.1747978407726	15.669527376128524	89.26646	2.3217235	143.4149375152588	-0.0335786531213671	15600	0.7106209657911373
450384	2789	1025.5525116920471	447.6026779736536	513.3795358026296	235.09254414717333	854.9899313118977	-1.3606496848326102	104.69858	1.7341142	138.893597946167	-0.02994612737558782	17520	0.5920216092097325
500745	2856	1188.5033929347992	600.497226260916	641.8363790095675	271.2847796527439	1073.9501429253955	6.654004300162136	144.89183	1.1639407	181.25793579101563	-0.0302518118172884	19520	0.6160810099893734
550147	2919	1349.74072098732	750.8763552509445	865.6856606450218	348.96667226274525	1230.784121733682	16.921374414754254	170.58313	0.6855218	80.09049642562866	-0.036232595532201234	21440	0.1362959167554404
600199	2985	1495.039056301117	693.9490001042566	654.8314120847704	398.5522272100078	1380.0661992682171	8.523690857715065	194.7755	0.34370324	140.73269966125488	-0.036856535342521965	23440	0.28663093558601316
650954	3058	1658.157184123993	936.2912317892244	1077.6670630240023	377.1940151925465	1460.7594564229357	5.686854957883311	203.91972	0.027283907	147.6332755279541	-0.04149060462601483	25360	0.9266923677370361
700453	3123	1824.9879245758057	1022.9671373890877	1245.0009423400438	471.00622976727817	1706.7249167098437	23.418974141691	229.99594	-0.29365438	165.34491790771483	-0.035055544283241036	27360	0.3260392514732502
750261	3186	1990.2147974967957	1173.7502112269653	1404.5706094192963	465.1461706734057	1724.6536319127877	22.14294139168403	161.97728	-0.6622553	193.88516647338867	-0.03594151638448238	29280	0.8569047678081967
800212	3249	2161.7365169525146	1188.4487621696367	1491.2519810916006	551.4433036899575	1829.9547634105693	29.172331037187273	273.3754	-1.0647582	1249.9585218811035	-0.03275491917040199	31200	0.24392436829433628
850808	3310	2337.34685754776	1211.5962428294615	1411.7074673787606	566.9313079042988	1863.8255962363764	47.9366770201762	191.2682	-1.4481543	286.55347190856935	-0.029580963305197657	33200	0.9255752489342802
900985	3376	2508.925363302231	1286.4222634961902	1603.5809175105985	594.6762583888659	1966.2994798110963	29.888313895348453	305.53995	-1.8141783	142.33303146362306	-0.037674476383253934	35120	0.9697170392835516
950137	3430	2692.9290459156036	1567.3537446236367	1874.1938882166146	568.8706904184401	2232.7471204367253	178.52930349245233	334.4938	-2.1694984	755.9177598571778	-0.02821232447400689	37040	0.29042634195173966
1000000	3491	2878.5454993247986	1575.289732402688	1892.8879493476256	592.9796087343253	2172.03538879438	136.88785018462372	346.994	-2.3526535	1123.1018278503418	-0.03586042520590126	39040	0.8416310495933932
