steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
50191	441	105.51231908798218	-263.885130399587	-71.23098261265864	534.2241234744689	-11.575641286481048	-1991.112627463122	-45.445686	9.808913	1544.7977465820313	-0.029156024851836264	1920	0.0552413398043734
100015	990	204.9791169166565	-89.49629814037182	-58.05911445057244	147.86711104578555	-4.472099612480878	-1393.6965055723151	-56.991554	8.789919	777.3867565917968	-0.028985954206436872	3840	0.20018870206270922
150875	1663	304.4211344718933	-65.17231793796168	-19.90780649200421	190.53766956734864	22.845272261443036	-1079.4408640903825	-83.75319	7.790504	341.19961822509765	-0.034246351193869484	5840	0.8069969520580896
200050	2489	398.51536536216736	-28.152179436093128	-12.653946196080234	67.5795373158656	31.757053951225473	-629.5663091464916	-21.22761	6.7909317	159.8453256225586	-0.03806804640684277	7760	0.897024830087846
250070	3208	501.26057624816895	-16.422092354962306	-4.017498603320819	53.31888936946866	36.558685458233384	-300.86168120387435	-12.480307	5.724311	117.94211326599121	-0.038860512543469665	9760	0.2460482692565099
300076	3823	603.9603707790375	17.559361634425905	13.882505410358323	26.75146450817087	111.75243589788542	-35.44875333200052	-8.100085	4.682044	113.93612098693848	-0.03409537954023108	11680	0.606881944934953
350090	4244	714.2158167362213	66.48468345756382	38.64380187366744	74.05904328714524	341.2725376712483	-20.76408217562799	20.335281	3.726594	86.48042713165283	-0.0398311226349324	13600	0.24695457593851045
400438	4441	847.8610870838165	181.10352339907485	125.5177895352921	153.75308895885675	668.7347541636216	2.9732141993027215	55.33924	2.757656	104.49351341247558	-0.03294924416579306	15600	0.7284306837053328
450092	4556	996.6860120296478	354.7657264769179	362.94284662100426	208.92120183384566	757.7594726630081	13.493920798606663	102.61657	2.2765124	145.26024826049806	-0.0352450912585482	17520	0.7476420503515263
500142	4634	1165.9727187156677	498.2238768740438	532.783194575075	270.26407022223214	871.3441634485346	5.46711257930312	120.06408	1.7484937	411.6509878540039	-0.031636425219476225	19520	0.12532675014570782
550061	4704	1332.930327653885	622.7742846783489	705.5706553923239	294.00338332790204	1037.3018402052783	2.27231238651077	141.54803	1.3414396	175.03610610961914	-0.03428515281528235	21440	0.10736010696697829
600340	4777	1501.990924358368	641.8007958051795	702.3225285957103	342.44464092519894	1178.9742476278018	23.392333067831604	148.56741	0.9234492	271.423702545166	-0.034466871111653745	23440	0.2685694832585295
650846	4849	1671.0451214313507	832.1381179608387	952.5259273660395	399.0925039795587	1403.1198721412723	13.78672195108974	186.65001	0.5596604	515.061889038086	-0.03448599012568593	25360	0.5728384876580812
700274	4908	1839.5405578613281	884.5326433293234	930.4052290734189	488.1400354519546	1622.415830813397	30.05554355446758	166.04962	0.038965225	120.02938873291015	-0.04172510565957054	27280	0.09662243932090664
750757	4979	2017.5054252147675	1169.5315112428352	1421.1959514974933	473.2662371382047	1705.2343182000213	40.904841488516766	240.6386	-0.15155303	940.4299807739258	-0.037711249645799395	29280	0.49495555655379464
800095	5045	2183.574674129486	1119.0010826588436	1270.143179998708	616.4871226471681	1846.669546123279	12.277261075344647	269.87506	-0.5372534	715.3368051147461	-0.034976762677542864	31200	0.445799906244311
850597	5105	2367.129138469696	1392.7176343436047	1696.7461149941	568.9701840071164	2102.594562928393	11.641255642865648	304.378	-0.87588555	733.1240243530274	-0.028565468243323268	33200	0.08889881005858136
900153	5172	2547.4226183891296	1664.8581935939872	1959.037128823917	587.6485960809908	2198.051963732968	14.092722384893577	329.68655	-1.227278	744.9894053649903	-0.03170940814074129	35120	0.25615778159547364
950215	5229	2729.0138397216797	1717.3450180571865	2056.2684096067205	780.8437906976328	2671.8373835166126	83.56420571405927	372.97397	-1.6420649	1938.852452392578	-0.03125162169337273	37040	0.8127438632238264
1000000	5288	2903.661552667618	1755.2755113409064	1859.9539203003437	803.1313032020314	2911.0922087203903	148.16178586097496	367.81937	-1.9324505	1294.970344543457	-0.03263418866321444	39040	0.1508971562062218
