steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
50270	394	101.90403175354004	-276.46823157570975	-85.71191550840831	543.3929451762973	-11.996217703324248	-1971.4712113894175	-47.32836	9.742857	983.2230621337891	-0.02850203588139266	1920	0.0944545196109885
100727	1026	202.1413106918335	-128.1154156408934	-45.59854298591981	308.82227002698886	-4.877968632324635	-1557.6012456187486	-66.68191	8.689393	774.653588256836	-0.03284229746088386	3920	0.34192873341241514
150104	1656	299.6975619792938	-62.04015485836065	-30.16074113518375	160.27006302620956	19.394375826495498	-1176.3828996128914	-86.82756	7.684582	521.5570446777343	-0.036838649092242125	5840	0.6832972466707429
200017	2335	397.4550325870514	-50.90764928546168	-16.816238499155784	131.4480910090466	38.3019225664418	-725.058403521056	-91.042404	6.731387	248.77140853881835	-0.032983102179132404	7760	0.8652282559544546
250246	2881	507.6042001247406	-31.782582638781363	-6.823846292651343	79.87960863213874	62.75807964643846	-385.4032820325989	-70.62667	5.703087	151.1156282043457	-0.03658371264114976	9760	0.7997233472554383
300011	3273	624.256575345993	19.27638159988439	11.125190697784964	37.49462738844435	151.5990395773355	-95.22818162268177	10.4466505	4.624371	76.55947105407715	-0.03597686290740967	11680	0.7672847233005191
350621	3449	758.4146609306335	119.64743026202646	89.53412247686725	107.01370972455679	443.01857341771097	-24.37616005671537	33.916904	3.6092296	42.8614450263977	-0.037617955785244704	13680	0.309037639239079
400819	3550	925.628746509552	291.49743121551745	313.10698540269743	162.70465665037506	570.5143761867565	17.958284208723597	67.83802	2.6670673	37.42491138458252	-0.03397764326073229	15600	0.5827525675966081
450884	3615	1102.5193889141083	474.12746388360284	502.01690350011575	183.15522911344846	830.6750079363713	15.317887532656627	106.036575	1.8992517	165.06667350769044	-0.03453945557586849	17600	0.6524367567920829
500168	3681	1267.1114292144775	608.0146363636103	721.8432882260443	319.93705851920663	1072.8671742209115	11.109138051915744	127.952095	1.3259879	462.7687841796875	-0.030206938330084084	19520	0.2796421372380743
550035	3749	1426.9521610736847	670.7753988473801	714.1757441853327	340.20223995764525	1180.6540532840104	27.714068564052827	167.92319	0.7640875	212.21704933166504	-0.03159799594897777	21440	0.6951566869020399
600397	3818	1581.0195608139038	687.198437842511	719.9010668004981	418.7013245864133	1330.3380281878756	18.97065178662202	194.17044	0.37494996	309.8628510284424	-0.02742970141582191	23440	0.15829549489720318
650793	3890	1745.4302701950073	889.3458977095888	950.5629000908084	405.5957653567158	1426.651394474983	36.3386607744986	178.50266	-0.0029565096	758.3727523803711	-0.03420006355037913	25360	0.28501521346253267
700160	3962	1918.6389229297638	987.8575675096068	1225.1820011501559	460.66893156682914	1524.9399401314097	14.737688273927143	215.59297	-0.3593855	679.7699475097656	-0.03604735956061631	27280	0.23341095039324256
750932	4027	2092.469664335251	1113.0988661274184	1385.0390924839808	523.5447633324268	1723.2675003237182	40.534153211105306	256.954	-0.7592205	178.65353538513185	-0.032410230659879746	29280	-0.699080437002408
800355	4089	2259.9591908454895	1203.9969279362576	1463.6813960745135	569.4818978931014	1904.288414276482	33.169741622158845	180.99654	-1.0665444	155.910122756958	-0.03560623860917986	31200	0.23925469659911702
850435	4154	2436.9172325134277	1429.6917551668375	1795.2220242173437	631.8908964275314	2079.938315747618	44.48330089716627	311.4588	-1.5171719	589.661901473999	-0.028418183736503125	33200	0.1561520452014069
900282	4213	2613.39803481102	1601.0149133772368	1948.9602874186344	633.041262329002	2280.186784526623	19.338486983863746	335.28198	-1.8467661	827.4992915344238	-0.02776938136201352	35120	0.16203188339773678
950656	4273	2791.60622882843	1665.749912910067	2079.0587189462635	736.0004611360613	2478.2397155777385	82.4137510969564	374.00394	-2.1010537	794.6402494812012	-0.03215177193284035	37120	0.18107119682575212
1000000	4337	2974.2491669654846	1997.594855291522	2377.352311769775	725.3875528991541	2746.81382830452	14.028560682963814	286.93698	-2.306499	583.5270874023438	-0.037083739386871456	39040	0.9599399926886452
