steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50554	93	1660.7702615261078	522.0431242632847	753.0682215944669	348.76292623781916	841.8972271822598	-22.534922650995167	39.798897	39.81632	0.622327072918415	0.5624851015210152	48055	-7.807771	0.01900530233979225
100559	153	3348.586105108261	855.2214076764941	900.1585750183106	166.46486142069267	920.3543170590413	3.774352515799801	55.959305	55.912228	0.4785758745670319	0.4384444141387939	98060	-8.069717	0.018954195082187653
150366	207	5038.384034395218	876.9490897504298	916.6298982663445	175.19203861819665	949.3284648962313	7.2440172213624665	61.04343	61.10512	0.393689619153738	0.43588772386312485	147867	-7.9244804	0.01756000518798828
200856	264	6751.104896306992	771.399171492079	920.3150530801447	296.20400422410177	971.3963793918253	13.372442432239485	66.50436	66.54449	0.29198020942509173	0.2963232800364494	198357	-7.868062	0.015890125185251236
250140	322	8460.175800561905	693.7757640371558	904.7429966210509	358.5017133101551	999.9827847145484	8.76099717566742	70.5293	70.482544	0.3116485396772623	0.29153745278716087	247641	-8.028161	0.01591726578772068
300244	386	10198.27603673935	838.189868880434	954.9799577706112	284.7177278281557	1170.9722204547377	29.82185972782476	72.75903	72.8237	0.3507957603037357	0.283019248098135	297745	-8.119987	0.014916881918907166
350355	447	11870.057230949402	683.0146509562072	776.2313972222912	377.51305848257283	1677.2110200350637	33.080654104406385	77.8474	77.90025	0.38413139402866364	0.40265455611050127	347856	-8.111499	0.01545623131096363
400630	522	13545.28753709793	968.5647644369237	980.7582909124417	496.71167776969287	2236.819699743388	9.389475503960563	96.42809	96.33127	1.186334666609764	1.3161462044715881	398131	-8.00854	0.027828844264149666
450593	582	15266.064522743225	2560.6918304337405	2632.8804209112923	366.8301092342739	2858.3577442322585	905.8693849745408	136.16293	136.00027	2.264010709524155	2.2075784295797347	448094	-7.980407	0.032882921397686005
500757	638	16934.186422109604	2578.125018502702	3384.634623021092	1273.4336645033354	3796.1928315750047	88.99987823724726	169.76123	169.67474	3.5754312562942503	3.4602599537372587	498258	-8.014866	0.039601027965545654
550264	702	18612.133902311325	1864.635077390568	1589.294764606119	1167.8734383636267	3879.039866587652	58.90965343288494	197.6154	197.69092	5.537626705169678	5.040510497093201	547765	-8.247103	0.046971358358860016
600697	768	19995.81884455681	1689.4028488283143	1206.9758206976103	1394.749998368607	4379.3688288817875	3.6408081807279338	215.22575	215.4651	5.693196096420288	5.812668573856354	598198	-8.065712	0.05174190551042557
650069	833	20761.617209672928	2467.172370613231	2436.7302571791797	1691.8881683782374	5035.314901408172	3.544030238115929	244.7495	244.68184	9.805920736789703	9.963960175514222	647570	-8.14361	0.05547589808702469
700741	898	22155.88226723671	3830.730618301597	4682.73323705656	1604.6580636539163	5098.221370910489	2.027594336798269	264.77762	264.44962	9.784126958847047	10.411260948181152	698242	-7.7398787	0.05737217888236046
750451	961	23858.69551730156	4436.777528715923	4958.120930396071	1303.666557757384	5434.34797656419	-167.54841706684226	281.52594	281.6975	10.731852307319642	10.069671006202698	747952	-8.0012245	0.0631849467754364
800607	1019	25579.114366292953	4418.973433120788	5020.376674584122	1436.367520873992	5468.272200771125	-36.294629858167326	290.3614	290.32285	13.267822709083557	12.171632623672485	798108	-7.9391375	0.06773193180561066
850400	1072	27377.314669132233	4948.55416700674	5253.77069315324	1055.2169151695352	5823.315767907673	169.1751534195836	307.43994	307.74405	13.773121972084045	13.014506683349609	847901	-7.910496	0.061696626245975494
900587	1126	29152.317863702774	4943.214940245702	5336.795169741541	1222.147193982766	5668.339330293811	118.79519147421826	318.2277	317.93652	13.203007493019104	12.783296175003052	898088	-7.791538	0.06468125432729721
950317	1178	30879.32001709938	5096.410873493156	5458.370904246453	1122.5960296398737	5848.470202412887	405.8316567932467	333.58453	333.69495	12.289211225509643	12.109501051902772	947818	-7.946703	0.06793227791786194
1000000	1231	32605.833193063736	5369.348396373123	5580.646567466032	855.5422268476867	5859.7165084266635	321.39202641608944	343.6805	343.56448	13.560983858108521	12.634265179634093	997501	-8.1248045	0.07216795533895493
