steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50667	97	1998.4126315116882	815.3429728695152	871.332931032951	213.74248252225547	905.8366148074098	-50.617521890341756	41.819054	41.829014	0.4687373688817024	0.5108185282349587	48168	-8.077049	0.020405780524015427
100459	156	4137.777009010315	908.2053802307536	940.2699806192586	95.43601887860514	953.7820985830417	357.15713918312895	59.79417	59.896973	0.3950700567662716	0.3542490205168724	97960	-7.818405	0.01821470446884632
150817	210	6284.382699012756	925.9239742461172	947.3887817089083	86.80785769254162	958.1208122329783	410.3431725364709	66.412025	66.45703	0.2196689899265766	0.22670415610074998	148318	-7.9793034	0.01690763607621193
200124	262	8447.130925178528	914.8838799611259	948.162736430447	146.3712630192817	960.1077896987375	129.88064208369386	71.48798	71.47594	0.19368119582533835	0.20780924163758754	197625	-8.0792465	0.015515030361711979
250319	313	10612.340078353882	936.1422866794292	959.8162374523781	79.41423726188431	971.3962831681437	550.2938714100177	73.845116	73.841805	0.12875078413635493	0.13974483575671912	247820	-7.856499	0.014698753133416176
300346	365	12807.16031908989	909.4032360753253	968.2728353260395	212.90137280417062	1006.0302137438109	2.636343375304539	76.03097	75.97681	0.11643848571926356	0.1161607125774026	297847	-7.9464836	0.01383959036320448
350490	419	15013.698362112045	899.6169930385587	958.1640738939495	205.51712136537137	985.17905553999	23.76964832560849	77.56281	77.492065	0.13395062167197466	0.12082613363862038	347991	-7.999346	0.012598404660820961
400748	471	17232.293934106827	935.429363239023	967.4213661705808	162.5988892987326	989.6790875981114	12.950304091197399	78.92737	78.93138	0.14808469515293837	0.13857323430478574	398249	-7.771669	0.013050115667283535
450588	525	19271.63884449005	968.1374452379489	981.9592208373504	96.37583128613694	1040.138405897649	69.97779131163364	80.35308	80.38747	0.13307198910042645	0.1270351257547736	448089	-7.614165	0.01358273345977068
500017	578	21421.352785110474	1433.854860880147	1431.2277671963209	31.304198016242587	1537.7246849892344	1368.8634446855308	85.90255	85.902664	0.19891194440424442	0.2039416901767254	497518	-7.849807	0.02095438726246357
550279	631	23545.464324474335	1795.3269643086899	2144.1237032517133	644.754512822872	2257.421066806285	57.19215789394847	114.34763	114.411705	0.5026121759414672	0.5793037211894989	547780	-7.996921	0.03600933030247688
600044	687	25707.95585513115	2302.005684437713	2340.4739904610774	231.30152677506013	2405.68405716934	356.79893403937626	142.25577	142.32236	0.7166547253727913	0.7678054264187812	597545	-7.9477787	0.04094686359167099
650187	749	27783.93387556076	1956.7088938640406	2508.7645294995314	779.1227892671317	2619.0251284755227	31.717973351656944	159.96434	159.98659	1.149996082186699	1.3014592704176904	647688	-7.9451456	0.04203610494732857
700101	806	29874.965887069702	2126.364745937203	2650.4641038133113	844.9655483942058	2867.3035450892826	112.46632346132976	174.04938	174.11343	1.7005066525936128	1.8549768933653832	697602	-8.049576	0.04179026931524277
750276	860	32028.829830169678	2296.060722933762	2823.0183684250064	817.3045498812384	3105.297980135767	286.05145686146665	185.09656	185.21573	1.2542963546514512	1.31933429479599	747777	-7.8601394	0.04591379687190056
800078	912	34194.70243859291	2971.915527077534	3115.052128087921	523.6421187357319	3293.416275307869	4.702098623718373	192.80193	192.83163	2.4249022632837294	2.3607654225826264	797579	-7.9329433	0.04254139959812164
850268	969	36339.48550271988	2561.4950990469556	3057.8990646830566	939.7874836355102	3311.355711762281	26.587896020051218	206.59859	206.53232	1.5631750184297561	1.553522372841835	847769	-8.052228	0.04439550265669823
900459	1032	38493.78761649132	3058.987726868566	3311.7108519818125	746.1697410089623	3447.027166755365	-285.4295096982382	213.65182	213.59023	2.534811677932739	2.44650250017643	897960	-7.9407125	0.04727793484926224
950826	1094	40616.75309443474	2909.6969799560607	3320.09849537841	892.7014018816108	3544.667938327697	174.74625019806163	221.41138	221.34315	3.7496024072170258	3.277967094182968	948327	-8.034496	0.045851413160562515
1000000	1151	42627.04171895981	2631.1767487346056	3346.5866573930866	1098.3682520867314	3626.0258261901886	52.54522360186728	226.22456	226.21718	2.982255582809448	3.0921899032592775	997501	-7.882502	0.046066176146268845
