steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50252	119	1727.5942125320435	357.53743509859277	383.18342834765446	170.2874444764333	728.9359535864688	8.951280768175115	30.00098	30.156216	1.1473724162578582	1.1997183686494828	47753	-8.261484	0.012982426211237907
100066	196	3593.138981819153	778.4140372689593	858.6953279191171	345.351284807268	1534.9055922832586	23.023934330878227	55.672047	55.541946	1.4278542238473892	1.4885077506303788	97567	-8.037002	0.015918321907520294
150854	278	5470.610562801361	2235.961358242189	2542.6218184199406	686.9096426487072	2825.6604935046407	158.98150478916017	92.45956	92.412964	3.075903398990631	3.2291246354579926	148355	-7.7772274	0.02055075392127037
200644	341	7425.048926353455	2212.8429544893047	2867.755060560362	1200.0570265140575	3591.563070237289	127.89010345465726	130.96802	130.74539	5.219550175666809	5.306925194263458	198145	-7.931569	0.025946535170078278
250112	400	9294.345471858978	2786.4292611710625	3631.5614383805278	1335.1917264346953	4320.817619382353	31.634714625746017	174.01135	174.04503	7.768428082466126	7.678122544288636	247613	-8.055229	0.03283986076712608
300011	457	11158.851451396942	3564.1875282236374	4196.937105381136	1300.856973733671	4677.487447072089	96.54811206379432	218.0918	217.87071	9.929079089164734	10.17781759262085	297512	-8.287631	0.03723553940653801
350074	514	12992.044581890106	3592.5961957543536	4176.03617947881	1233.8263864514718	4565.814478591068	98.59321784357127	244.53946	244.57448	11.531836605072021	11.247766680717469	347575	-7.807494	0.04099015146493912
400560	569	14888.246088027954	4275.869360279969	4670.018651595693	1138.5643045025565	5005.2824673517025	66.66258042331242	271.39957	271.70676	11.477660417556763	11.694589815139771	398061	-8.060525	0.044773440808057785
450918	621	16814.839529037476	4637.325749184102	5016.822714341648	1092.8918897759372	5462.313851185222	563.1496584884605	293.1271	293.2971	11.175776600837708	11.155016903877259	448419	-8.29885	0.04686814919114113
500595	673	18701.67397928238	5110.342359527026	5303.393021915577	826.5539948997294	5662.685633436458	9.204904577925952	306.93808	306.9122	13.054484004974364	12.973212914466858	498096	-8.012929	0.04887291043996811
550204	726	20573.573812007904	4283.360762309841	5258.392674553002	1758.4845592347717	5655.199164675326	54.41214982092363	330.54645	330.50662	12.793663282394409	12.631329073905945	547705	-7.9936943	0.05167514830827713
600951	781	22518.076114416122	5189.344655832118	5515.369169091032	1190.3057190058864	5818.0139220941655	57.371043854378385	353.43793	353.42136	12.640383701324463	12.475631990432738	598452	-7.855614	0.05249394476413727
650964	836	24492.767740249634	5462.55404821262	5688.524777576277	921.4089588792631	5932.031656010309	326.2974347878645	376.63797	376.56232	13.734942770004272	13.363008008003234	648465	-8.067083	0.05470578745007515
700964	886	26401.686775445938	5147.41124037238	5729.382170304461	1515.9203740256478	6080.962981587077	60.338300371888046	379.08652	379.33057	13.370543270111083	13.811086721420288	698465	-7.849012	0.05578931048512459
750633	937	28312.094534873962	5523.425546752592	5716.573856455605	880.0665460910342	6006.6443988478895	11.986045531346186	394.67502	395.0601	11.75437241077423	12.131497993469239	748134	-7.9020257	0.05639536306262016
800745	988	30204.132984638214	5827.60572565509	5876.070118606196	327.6787761693221	6135.576752977416	3561.594625576309	404.66232	404.7258	12.271978912353516	12.309408354759217	798246	-7.997644	0.05614908039569855
