steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50857	117	1858.086136341095	671.8983346524068	836.4314878699824	305.5755774817388	880.1345918125473	2.0630622663419484	40.557877	40.557594	0.839386265873909	0.8430611172318458	48358	-7.985533	0.019692931324243546
100560	182	3778.50218129158	706.4217134134931	898.1712217007278	334.3795077703937	967.4829705172646	9.122824711524615	57.58788	57.537617	0.6810106948018074	0.6976445016264915	98061	-7.8932567	0.018343262374401093
150065	245	5615.703994274139	686.3887288565825	875.3369339314587	353.36582020847595	967.8775286510734	-3.3499079300773875	67.06961	67.18386	0.5320177277922631	0.5225262272357941	147566	-7.8521605	0.016121013090014458
200913	310	7500.871167182922	788.803067179177	917.182423852983	303.14396566977234	1152.8910111957184	16.20483418619248	68.3062	68.265	0.5631204196810722	0.5612964993715286	198414	-7.9936485	0.014773566275835037
250649	383	9405.782546758652	928.69055600263	910.6716521386691	428.14794551641074	1643.4632840336233	24.46712077536417	74.868835	74.882355	0.8285682073235512	0.7565496933460235	248150	-7.975517	0.013023516163229942
300751	448	11361.430816173553	1063.2805465813926	1018.2496099229164	622.7591668412865	2063.2368463918833	13.653757999291917	97.63282	97.653465	1.3728948301076889	1.4485900461673737	298252	-7.9850917	0.02622731775045395
350136	504	13245.93006324768	1903.172648412328	2205.2854883236973	577.7051466732447	2485.8658571222986	116.29877801783189	120.21186	120.44021	1.9981478387117386	1.9404066967964173	347637	-7.5447803	0.03133285418152809
400144	560	15167.963825702667	2220.9465060167377	2628.1740660191394	810.1934148140324	3017.6941957699055	173.08835405833202	137.87238	137.85434	2.564912532567978	2.6069093596935273	397645	-8.405557	0.031050486490130424
450064	614	16393.397349119186	2736.6032079494507	3136.864737449814	949.2096964805515	3476.498527374845	1.8414827288398745	165.60117	165.63133	3.736648061275482	3.6021003413200376	447565	-8.036329	0.036666255444288254
500961	670	17497.415222406387	3654.0507381422412	3940.500819543924	890.3822004575994	4354.475286150316	44.365754711290826	194.5246	194.4484	4.6103825187683105	4.822166302204132	498462	-8.129856	0.04376616328954697
550539	728	18644.47848534584	4131.574282705214	4545.851540006219	1186.0404777064637	4855.237669954416	215.10330505426003	224.48506	224.4545	8.056863722801209	7.827406687736511	548040	-7.8138947	0.04767690226435661
600990	782	19797.405549526215	4114.751455511838	4646.464049775168	1193.1907937161106	5033.133555070873	257.6926762862502	255.35797	255.23918	7.627063326835632	7.340971970558167	598491	-8.0814495	0.05210806429386139
650699	836	20937.403621196747	4517.163746936308	4866.002172963039	1025.7891276643109	5201.168673580081	154.7591157302476	278.29257	278.43994	10.256826858520508	11.753282480239868	648200	-8.192876	0.058471713215112686
700346	890	22077.650834083557	4721.131595664711	4991.589357049386	930.5378086588587	5302.348900937843	561.5610083978634	291.28268	291.4874	8.493926239013671	9.142527072429656	697847	-8.090602	0.06034895032644272
750205	946	23224.46330690384	4824.21801230254	5133.6209447032215	921.5116065157175	5503.02552140287	1472.4995027931488	310.1335	309.97464	9.2148876953125	8.55532514333725	747706	-7.993546	0.06239704415202141
800229	1004	24371.3355884552	4811.438372213011	5254.079934831088	1248.4220794106884	5555.137175453375	1.2463364774056689	319.9617	320.30005	10.847690615653992	11.02809941291809	797730	-8.007562	0.06338956952095032
850628	1058	25451.077303171158	4940.831639994966	5313.131719599181	1087.962447540822	5577.77412634589	343.92794773214956	329.53552	329.1953	12.192932333946228	12.254114403724671	848129	-7.881166	0.0676332414150238
900062	1112	26428.7434322834	5173.883402946184	5378.599322538157	787.7990003675957	5578.236166706175	394.5844132784106	345.65402	345.65942	10.31787115573883	10.50727252483368	897563	-8.17817	0.06423645466566086
950082	1168	27400.173272371292	5229.899284267038	5470.815577130332	909.2589213486962	5769.583769748401	228.91229252552807	357.88943	357.68707	12.41405773639679	12.793888750076293	947583	-7.9794774	0.06790191680192947
1000000	1220	28365.78005552292	5325.962329177823	5695.414976760674	1217.835164784622	6055.224644522265	315.99261027335166	363.95563	363.51312	11.09909993648529	11.479871654510498	997501	-8.246211	0.07262992113828659
