steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
50958	71	1523.7643237113953	1224.827578509876	1190.1469363729343	705.5406430321455	2162.9439785348413	16.380062738881684	60.071423	60.115093	1.5866732335090636	1.60996910572052	-60.04019783020019	24229	48459
100117	129	3058.6713268756866	2046.212803503264	2374.4202404283524	697.2940633971076	2514.339721176933	-92.28655851688053	94.32952	94.42364	3.6076267552375794	3.5870336365699766	-96.41221870422363	48809	97618
150209	193	4782.3023591041565	2435.000970842256	2604.7923682782302	510.1472410597419	2708.029069013125	351.46521462608666	118.29518	118.43153	5.541068403720856	6.035155093669891	-120.78571647644043	73855	147710
200211	250	6504.069330215454	2694.162068869707	2781.656678531625	403.62579901222523	2913.3432155338796	163.8699645202838	131.54987	131.50754	6.650797991752625	6.4971104741096495	-134.50447044372558	98856	197712
250342	310	8234.834446907043	2714.5907718940452	2838.651910944398	488.61773310255455	2973.0519602221534	-126.16975232442684	148.62193	148.68204	6.709736826419831	7.01976888179779	-149.6164793395996	123921	247843
300899	370	10002.514186382294	2492.6142864336557	2846.047482719321	760.4352818755204	3012.3241357849665	92.82276302242674	161.10725	161.12915	7.294675014019012	7.111130244731903	-161.39610733032225	149200	298400
350329	425	11646.644830465317	3008.0869382253554	3067.488029121985	343.33756466111123	3199.7936840286297	427.57580994013676	165.56638	165.55663	8.245533895492553	7.411643218994141	-169.13886978149415	173915	347830
400228	482	12861.802205324173	2871.6893150579094	3182.7671518588513	774.7965931429312	3333.510748055435	62.81529927366675	172.30989	172.42982	8.645332865715027	9.359735307693482	-175.4697364807129	198864	397729
450614	537	14090.309590101242	3005.392088417257	3251.2954797391194	781.7527463106558	3422.1131369125633	-535.7724802729367	181.13768	181.05853	9.260180096626282	10.372298545837403	-183.49760635375978	224057	448115
500632	589	15325.37177848816	3229.575824397648	3226.635475014529	44.308910110100186	3366.7168700933103	3139.6754911543862	184.68544	184.4219	9.205072331428529	9.020847325325013	-187.1121026611328	249066	498133
550200	646	16553.54704451561	3341.4892129234495	3341.2831570859453	50.05343035243522	3467.8397324087055	3192.508008331547	188.0269	188.0546	9.218721766471862	9.304798111915588	-189.91135940551757	273850	547701
600848	700	17789.345511198044	3211.150174021419	3294.2006940280726	489.9094019656192	3393.0146042059005	23.664701929950617	193.3875	193.6847	11.015850286483765	10.816205611228943	-195.82361999511718	299174	598349
650691	756	19004.905765771866	3314.9794170154964	3366.809547720368	230.49366149484402	3513.7962077605916	1744.9080120399813	195.51428	195.60683	9.658959021568299	10.21344458580017	-200.3072886657715	324096	648192
700647	809	20245.30734014511	3126.631761752467	3320.576337870802	684.5390627550195	3479.5147579595846	-13.627961051195268	201.46329	201.37056	10.651473703384399	10.710870542526244	-204.68901290893555	349074	698148
750750	862	21481.735761642456	3354.7598598123673	3421.3142796677107	467.39176503609605	3517.870121374413	7.7644773940830305	208.53345	208.25325	10.5616827583313	11.304157438278198	-207.7543850708008	374125	748251
800913	917	22736.906422376633	3147.8604669172087	3348.380995397002	758.6541739924592	3476.1408081258196	-1600.13654174705	208.34665	208.25772	11.759773755073548	12.803687553405762	-210.65177200317382	399207	798414
850855	970	23965.384220838547	3452.434023241762	3530.670897150262	463.42735693860175	3688.4250124178443	1.576339349149321	210.9535	211.04393	12.145999126434326	10.758626432418824	-213.08026962280275	424178	848356
900437	1028	25197.57792544365	3533.2291693384204	3575.913970934279	272.9369950526728	3718.6675719229956	1268.5004900154493	214.63797	214.43996	11.419574666023255	12.17254771232605	-215.66157852172853	448969	897938
950098	1081	26433.89246416092	3332.291285044856	3477.631142069933	653.5752320698334	3595.1781440478326	-1063.7540691268682	214.4317	214.33144	10.908764009475709	12.113378415107727	-217.40494888305665	473799	947599
1000000	1134	27677.779527664185	3249.866110468079	3411.4917834489265	621.5937870690668	3596.5983526766195	-35.52789644298804	215.82857	215.75183	14.500184502601623	14.755147247314452	-218.3902964782715	498750	997501
