steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
50214	76	1539.7670838832855	1136.5875284363408	1202.25821099829	707.2858662006297	2225.2930548085424	-73.3669236216165	60.99658	61.02432	2.024485844373703	1.9843176519870758	-62.873195266723634	23857	47715
100849	133	3264.9530017375946	2365.0467899878367	2601.4445938065805	682.246989610183	2726.348431116028	-173.09777387246427	120.61874	120.76444	3.5926265358924865	3.5462413740158083	-121.70715339660644	49175	98350
150637	185	4911.699495077133	2889.8129129220993	2917.8691848728326	275.66089386493024	3024.6134665379054	222.15007595448424	155.21373	155.07512	3.839763820171356	3.977420048713684	-155.7456918334961	74069	148138
200831	237	6640.524387359619	2997.672100089406	3112.234991046882	547.8371776624301	3263.9464426293125	-616.7934590414283	176.937	176.84631	4.472684669494629	4.568613831996918	-180.45052368164062	99166	198332
250749	294	8224.140783548355	3017.4731358328117	3258.243875932457	780.2308774991633	3504.9475769208157	-14.138628252115994	189.51338	189.47809	6.285162200927735	6.368506579399109	-194.27983612060547	124125	248250
300303	345	9832.905576229095	3275.094427199826	3346.701367767525	400.5682573708585	3522.5527413384716	601.617959241245	204.308	204.458	6.459242100715637	6.115412993431091	-205.9405990600586	148902	297804
350978	401	11506.695084571838	2567.176318211417	3279.636385592731	1128.1142876666413	3566.1731732212866	-8.685254567125284	214.87384	215.06021	7.183835558891296	7.093691453933716	-216.4245034790039	174239	348479
400240	454	13143.320944547653	3593.3600130513505	3627.6817539339418	312.1823249055526	3777.1602632604536	804.305075902565	225.19102	225.2746	8.529120440483092	9.495078911781311	-226.9305470275879	198870	397741
450856	514	14837.121098279953	3235.3287690283923	3676.4425758457837	948.4437672046494	3878.2339026446725	164.21098815117404	233.28918	233.24219	9.350561633110047	9.47359624862671	-235.3911602783203	224178	448357
500848	569	16561.92386865616	3527.990126164851	3673.319491406773	669.62822407902	3804.8241482357284	-12.709241984895087	239.3615	239.23128	10.84263271331787	12.680113744735717	-242.354990234375	249174	498349
550948	623	18251.354197263718	3591.8358279443555	3802.437345279721	770.963716202137	4031.456041462993	286.1337755395646	247.64743	247.65044	10.906927671432495	9.609296741485595	-247.25921142578125	274224	548449
600173	675	19851.887505292892	3565.8148810852344	3846.2427946014086	895.3628952249022	4091.7050468557454	-13.246470289351102	256.98666	257.20172	13.014802927970885	11.781993999481202	-254.75913269042968	298837	597674
650323	729	21509.37105822563	3458.521315254526	3650.0779860737525	674.4163557996848	3822.1741392944195	132.7342705282133	253.3364	253.49818	9.255328521728515	9.492940526008606	-259.0950668334961	323912	647824
700047	784	23201.746085882187	3665.477885235283	3817.795798484589	577.5265938456703	3987.648809160417	255.5799823679511	260.0555	260.18582	12.194227895736695	11.602707481384277	-261.93910125732424	348774	697548
750970	842	24953.902646541595	3783.338005377086	3994.67612784127	729.4850985935972	4206.493092508987	393.09400939743034	260.14578	259.99258	12.253536987304688	12.197909197807313	-265.32355041503905	374235	748471
800179	894	26543.632922410965	3554.518787252834	3914.346085803644	952.7245410566597	4129.131368050906	328.7532204930107	267.8066	267.991	14.568330597877502	14.590203967094421	-267.09033203125	398840	797680
850129	948	28290.372849702835	3735.465926445592	4032.1336538961086	806.6584541046608	4178.8428208612095	360.5236948216475	269.97778	269.8983	14.459053978919982	14.19001769542694	-270.40656494140626	423815	847630
900541	1008	30053.77286553383	3407.788002868118	4012.441493449083	1277.3771688732438	4289.6451959301485	-567.1373396458017	271.3708	271.35306	12.56931293964386	12.73303050994873	-274.0602114868164	449021	898042
950236	1062	31784.286391735077	3755.7665731476773	4039.6130403539837	988.2001330926006	4236.259195065528	-1912.6016542341251	277.02005	276.93643	13.42778284072876	14.17651785850525	-276.5066848754883	473868	947737
1000000	1119	33543.73098564148	3758.1657768632654	4124.203942335929	984.7438081979031	4322.830949269875	-1068.6462257016303	279.51987	279.80643	15.328704552650452	15.153553647994995	-282.022529296875	498750	997501
