steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
50867	112	1559.3627080917358	794.2519050079143	849.8263179292651	224.76355650644769	972.9637572972773	-651.1352612205761	28.692177	28.625427	1.0069242936372758	0.9753046345710754	-30.868005676269533	24184	48368
100396	178	3208.4204008579254	1506.258164786536	1724.7152422547613	438.67417622146337	1861.2373177697962	6.88287913469591	55.912037	55.967804	1.8815026557445527	1.8157101953029633	-57.13135410308838	48948	97897
150119	233	4829.070608854294	1911.7532512794705	2128.2896201517024	678.6442869847573	2308.8046556107256	-1360.8653339178175	81.35603	81.27112	3.154310529232025	2.966936881542206	-82.63625419616699	73810	147620
200295	285	6558.084723472595	2159.0168108079292	2374.0509463995295	694.3529737493361	2474.9531984193222	-705.2207143626952	104.82933	104.79415	4.005880634784699	3.8844830894470217	-104.85387794494629	98898	197796
250032	338	8142.7711186409	2275.806448121989	2413.726833576487	586.6506880760516	2481.651851753953	-1389.0776982814357	114.944374	115.136925	4.817848308086395	4.589104335308075	-116.18112121582031	123766	247533
300760	390	9786.227815628052	2402.1954125143584	2508.9329693885093	488.3703514268039	2586.340159063026	-102.33374809007724	130.39706	130.50822	5.431262135505676	5.295188961029052	-132.06239479064942	149130	298261
350760	440	11420.6280002594	2469.1268679963146	2514.59774386192	305.3171664032506	2583.7217438257103	2.3540144298191223	145.82782	145.7871	4.743845295906067	4.59629563331604	-144.04920349121093	174130	348261
400500	492	13079.509145975113	2647.7447879864303	2756.5599347597745	627.5117504478671	2841.166301227601	-2238.088865428585	153.97722	154.08963	4.702556509971618	4.495875551700592	-154.55794097900392	199000	398001
450728	544	14741.569649219513	2707.346055709445	2739.8499267266297	275.26286895280845	2825.47687925376	2.7570646371239875	167.721	167.6848	4.356856844425201	4.224347927570343	-167.551388092041	224114	448229
500220	596	16412.00887823105	2805.7412923740453	2837.620441477904	284.57846465197684	2897.711593943372	4.977251467313302	167.11244	167.05159	4.719985592365265	4.628913991451263	-170.89902557373046	248860	497721
550220	646	18005.660403251648	2738.9098553021995	2861.185608062863	602.4639057238006	2950.2861965836846	-703.7560229478235	173.41553	173.53069	4.779855897426605	4.530718901157379	-175.4462112426758	273860	547721
600524	697	19671.34582209587	2820.585722513927	2833.9187814069032	75.98499912168216	2901.9618134886764	2168.2085312162544	181.00409	180.92532	5.166540200710297	5.116611292362213	-180.14961471557618	299012	598025
650769	748	21338.93574476242	2887.2871101011806	2966.2033854088004	583.2596848341854	3078.172128225678	-1265.4630425250416	186.33537	186.39905	4.608167374134064	4.482109000682831	-186.78305419921875	324135	648270
700769	798	23008.18351840973	2951.4375512136594	3026.501196158342	448.5955348744254	3104.8764873981045	16.620319588135146	188.2582	188.29526	4.861474721431732	4.743043329715729	-191.95960998535156	349135	698270
750769	848	24668.839386463165	2926.8771363126093	2983.803189069242	421.76620568368895	3092.0309005715662	9.19511586862578	197.70169	197.592	5.5840170645713805	5.3120964956283565	-197.01175399780274	374135	748270
800343	900	26312.403679847717	3056.7196397628477	3102.402541070068	347.5646723591621	3195.385538567929	0.3138350144968196	200.75299	200.8163	5.050655949115753	4.783311145305634	-201.04068542480468	398922	797844
850299	950	28005.52881836891	3121.2745413148123	3225.7171776685254	587.5426037928562	3346.760207688977	-1446.9674939701063	204.37799	204.22014	5.912472610473633	5.640766680240631	-203.79734909057618	423900	847800
