steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
50975	78	1594.1930043697357	853.5457538169496	934.9423800521012	271.36644992262353	1210.4084233977653	68.77352581141629	39.80932	39.77304	0.5095532137155533	0.49848453551530836	-40.97376510620117	24238	48476
100433	145	3223.1844370365143	1965.9439932650666	1966.3738554234797	33.54083641866999	2026.8605324823643	1864.0306067732563	68.41	68.50141	2.841452679634094	2.7785778760910036	-70.40527969360352	48967	97934
150294	208	4890.229803562164	2161.992988256493	2337.069430920114	512.6291694541153	2463.2800441708337	117.89965748739316	92.67986	92.76871	3.6908453345298766	3.677991409301758	-97.65626571655274	73897	147795
200394	266	6556.913882493973	2182.623980654558	2381.434276757748	563.7261064626808	2501.3774965253497	108.79283519934063	116.482735	116.33737	5.34747688293457	5.953157224655151	-118.84700576782227	98947	197895
250760	322	8263.12613940239	2557.5289058996495	2647.9504887901967	396.6381654699709	2785.2400947248543	714.0844871660821	135.49301	135.47638	5.362455451488495	5.040384554862976	-136.54502426147462	124130	248261
300204	380	9864.448460817337	2615.574114103648	2850.0019757245636	660.6277968067282	3051.817224055419	-59.53230442269103	145.91757	146.02707	6.363742835521698	6.611976618766785	-147.23669906616212	148852	297705
350544	439	11531.824588537216	2856.4892172612736	3016.2526165306544	768.1289109903994	3117.975813440608	-2176.1523416230634	154.95378	155.00198	6.56921537399292	6.208743357658387	-158.01827072143556	174022	348045
400107	494	13198.708735466003	2943.8866255699563	3018.4375030947303	404.09955367931514	3164.7061102639564	160.78768979964826	161.78777	161.59601	7.021126184463501	8.123012475967407	-165.85239532470703	198804	397608
450930	549	14871.117567062378	3040.690201992486	3164.359937479878	579.7554777900067	3333.8825247922387	-329.19193818681157	167.76413	167.70554	10.436041231155395	10.043978066444398	-170.37180465698242	224215	448431
500800	606	16591.865507125854	2880.227831625414	3078.3391332405	578.3411092590911	3233.5349316159272	-264.98027838112966	172.52946	172.35736	9.780931091308593	10.113747038841247	-175.73070587158202	249150	498301
550772	661	18361.733753442764	3149.7953367702294	3273.379766183495	600.2927276491957	3399.7784506326043	-346.9923836261779	178.74995	179.0805	10.25009325504303	9.968912153244018	-180.2568687438965	274136	548273
600038	714	20028.73033952713	3309.7926081219825	3387.106919398283	481.6595093185979	3552.7524694945614	-670.971906365514	183.00223	183.02994	12.14055943965912	12.273333878517152	-186.7142124938965	298769	597539
650744	774	21747.179757118225	3033.288724232668	3367.687066088212	869.5098965957976	3551.457942869199	44.337881418184494	190.31767	190.33112	13.55974370956421	12.783884358406066	-193.68130783081054	324122	648245
700520	830	23413.1936545372	2802.6755893883665	3393.971714748792	1120.8072852250598	3607.0043365126976	-1097.6408189795234	197.24266	197.02763	12.633593759536744	12.485352873802185	-199.84764434814454	349010	698021
750081	885	25215.301785945892	3113.8852280906244	3494.807843655117	878.1825911855565	3712.3234680219857	183.596723666681	199.53056	199.64864	12.658444771766662	12.385713233947754	-204.29202392578125	373791	747582
800801	942	26932.697257995605	3197.8687341975055	3448.944675719693	675.0108804415719	3634.5715284754037	168.53699809115008	210.92044	211.19965	16.433553228378297	16.07768347263336	-210.94550979614257	399151	798302
850780	997	28613.108693122864	3307.1028948447306	3635.8285189641992	885.8685790448995	3892.677724695934	130.99639113695596	210.33946	210.40727	14.0132044839859	14.400200810432434	-213.11477157592773	424140	848281
900134	1055	30290.846532821655	3619.632283510275	3724.371031709853	612.2215067462843	3886.656427444692	-2.040011944321224	208.85843	208.971	17.899530954360962	16.740164527893068	-211.90919494628906	448817	897635
950891	1110	32062.581149101257	3667.155998733534	3807.8034711604196	616.1271602691816	4021.1263100906804	88.1312654406037	212.53882	212.77112	19.540695362091064	18.979340114593505	-217.09925323486328	474196	948392
1000000	1168	33791.7156393528	3407.2611809296163	4151.398696238477	1418.1619278410515	4387.613739032551	95.31495607543842	220.9494	221.22784	19.59171094894409	17.193542518615722	-224.44952621459962	498750	997501
