steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
50000	50	78.29560089111328	-394.60096186444116	-392.1560959901406	43.935237581891876	-301.0059230409502	-568.6301715120982	-46.159214	7.4407225	57.35068737030029	-0.018151835771277547	1920	0.003190653245343733
100000	100	176.7972526550293	-154.2768160286614	-153.8889253280193	42.843634609463734	-59.46716642643174	-265.08654477363694	-51.329647	6.4082565	34.137673206329346	-0.023500739461742342	3840	-0.08677009328355023
150000	150	296.0320475101471	110.82564476210993	117.1018681772558	89.570111053982	211.145969158437	-665.1002524482138	7.279054	5.5113573	21.543970222473146	-0.02253218267811462	5840	0.6326915416362372
200000	200	412.9687616825104	381.6421613626719	392.9385007492642	120.00172903506778	499.8948581648437	-695.6496548007872	64.61516	4.4408865	33.604684715271	-0.025325332232750953	7760	0.17410231917625663
250000	250	526.6617381572723	591.081684814183	605.4894904354132	93.56878020518648	744.1551878547897	-210.66857637266503	101.851	3.5766294	26.024101028442384	-0.023296710224822163	9760	0.22839034298280747
300000	300	642.9723644256592	763.0150700613918	761.5515251587972	41.073559233452215	876.492867537122	596.2183532138197	137.48563	2.8041499	25.006376419067383	-0.026081288461573423	11680	0.3926425061287845
350000	350	757.5771932601929	909.6345762583892	909.2632946913363	40.45584266444331	997.9262610053659	786.324495919355	171.35686	2.046249	19.973953514099122	-0.023719108910299838	13600	0.22995233908651347
400000	400	871.7656214237213	1014.9413890720059	1016.6490200132653	47.95159424589528	1101.3700669849957	762.9797072589649	195.40468	1.4711813	18.61817937850952	-0.026241955878213048	15600	0.40763472581068083
450000	450	983.4710397720337	1096.9792752307153	1096.9430762239185	37.410501468352656	1166.809419747143	1011.5502697855188	219.80003	0.9488461	13.103105239868164	-0.03013730806298554	17520	0.6060683846434209
500000	500	1097.3899204730988	1173.0556733552337	1170.1785937882776	40.099400773477804	1281.3180540830604	1074.945255452497	234.0054	0.416896	33.6404353427887	-0.02910646993201226	19520	0.636875378319161
550000	550	1216.0275194644928	1237.1215334376623	1237.796156780153	34.72627073528267	1321.0323785655128	1121.4259739969732	250.82443	-0.18536481	19.296080017089842	-0.0244608408305794	21440	0.31860646703747875
600000	600	1333.2580189704895	1127.6932968039685	1255.3269958754	447.66506202335285	1350.4375591441933	-386.8917578092336	256.9502	-0.6192249	16.999414443969727	-0.028239453798159956	23360	0.4236829648940382
650000	650	1447.704418182373	1307.4853870636514	1307.0729271707746	42.55541944601253	1388.5403729178313	1135.9519088499967	265.637	-1.1517707	27.620263929367066	-0.024747448125854134	25360	0.8105144785035316
700000	700	1562.9190056324005	1355.088663657341	1357.91854460611	35.07275725584733	1435.231242272948	1271.162763353237	273.9268	-1.5946871	36.686846027374266	-0.026788045519497247	27280	0.7641582550960644
750000	750	1677.080807209015	1364.5469245018087	1365.980147499975	36.26080807998374	1451.4327936144352	1262.5226105209	280.23624	-1.9985375	13.534865407943725	-0.024867712566629053	29280	0.6141235932262222
800000	800	1792.5428137779236	1383.482526508511	1388.1690006697204	37.838044093669915	1458.2153209213745	1277.0909316316872	285.2884	-2.2927396	12.353526306152343	-0.022571624089032412	31200	0.5969783892971465
850000	850	1900.5833535194397	1344.43302289987	1428.2838579446902	376.6442700646337	1526.9740974812653	-290.1032056009109	157.8265	-2.5231504	67.31904625892639	-0.021067377952858804	33200	0.955081793223932
900000	900	2019.8663401603699	1400.0369325600764	1448.33297937213	291.86489710610556	1529.2230458997617	-247.91103642327053	291.93857	-2.7777746	27.13442421913147	-0.022413047687150536	35120	0.6156780085428608
950000	950	2134.7827713489532	1433.9066097293392	1453.3316784747053	174.54902008570826	1561.476263517964	-256.54439131824586	298.14032	-3.1170974	27.544632568359376	-0.01998093692585826	37040	0.39393324528577967
1000000	1000	2248.193663597107	1385.059398918148	1469.8364681398784	384.7070980132491	1613.6310179542568	-280.02118760459905	303.9197	-3.3383343	13.83689290046692	-0.026175904721021652	39040	0.7933851410444274
