steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
50000	50	115.34695482254028	-359.1442153868408	-348.30937426945195	73.64388575796363	-253.37062391897962	-683.7279608124009	-44.292522	7.423573	25.455512676239014	-0.020445002117194234	1920	0.014460909494734886
100000	100	224.41989135742188	-32.121729626739615	-25.641849084069406	74.79465560296414	100.2537083804616	-498.26635986624154	-30.041265	6.347855	29.06713888168335	-0.024677753001451492	3840	0.04684743886050868
150000	150	335.504921913147	414.0170599477876	415.2519836493609	52.12712700327222	526.9578421257379	250.48203503246205	59.572086	5.288526	30.68524757385254	-0.021668197931721807	5840	-0.010319824115213372
200000	200	449.9241497516632	700.0843248009044	705.3904433755872	48.78769625192982	774.6263397546815	533.428210821594	105.452774	4.2827606	43.12671310424805	-0.02292765473946929	7760	0.3354898722227543
250000	250	567.926990032196	884.4094348316557	889.6800423603756	52.63791314980118	973.2790248207135	670.9550156848305	144.9755	3.44581	37.18096532821655	-0.022373253577388823	9760	0.3326849275545074
300000	300	681.9130656719208	1005.8896689678686	1010.2579251486559	77.3202020643665	1122.5924251170966	368.1034310617683	179.41562	2.7137172	39.851190853118894	-0.025372453313320876	11680	0.5165678415133492
350000	350	796.0063683986664	1144.3644686456053	1144.5343315943464	34.56707663428517	1210.5259739768198	1055.6572961478316	210.66591	1.9834028	20.616222114562987	-0.02391800898592919	13600	0.447474201277287
400000	400	910.0121710300446	1245.7960147352715	1250.828202186274	32.61029754882034	1310.2632321903725	1154.9219877653077	239.78123	1.3090012	19.818331689834594	-0.021051076846197246	15600	0.28220997683242866
450000	450	1026.0503234863281	1343.8086277149139	1341.8250770208583	41.607347980393946	1450.0279297510613	1199.6880559072183	266.21857	0.66192144	15.18126039505005	-0.01783703040331602	17520	0.491028124138864
500000	500	1143.9338083267212	1431.5915884521978	1432.0558722785618	34.6861367993483	1516.3955889053157	1341.1548358083444	286.30737	0.17070352	23.448089008331298	-0.016941628158092498	19520	0.5158675477018914
550000	550	1250.9976842403412	1501.32733523812	1503.3854794299764	41.48399374964798	1594.639803303149	1298.1521452826096	303.44907	-0.31076947	16.282613792419433	-0.020435648667626084	21440	0.5394657751753108
600000	600	1364.2118072509766	1549.636648002803	1570.3252726384862	210.91464402181975	1679.802567568889	-505.89885745264274	319.048	-0.8444192	15.12437967300415	-0.02046888574026525	23360	0.5716953267942287
650000	650	1478.6082599163055	1572.7094088837478	1595.3679244514472	216.20837859012553	1697.8625271227181	-527.4981320327256	326.41125	-1.2605116	15.932687616348266	-0.018388796034269034	25360	0.5707618060872418
700000	700	1588.8704483509064	1571.1753095410872	1610.711583773475	300.2713276639778	1715.5340407458366	-506.77541030935083	330.9158	-1.5419348	34.64620361328125	-0.02297369594220072	27280	0.4786389505166845
750000	750	1703.6549258232117	1542.460401623015	1650.1185992742141	456.6920199611463	1752.112844313119	-430.4918507386786	334.1465	-1.9872999	14.810573835372924	-0.015395426396280528	29280	0.5419593814106163
800000	800	1813.2853066921234	1601.4744732295273	1678.9426963317037	415.7213324551947	1758.2912225648802	-422.211565415446	340.7266	-2.451877	17.926110820770262	-0.013580818939954043	31200	0.5879092589344685
850000	850	1932.276090145111	1695.5411612643923	1696.1619685753512	31.158910287670857	1774.348962313826	1618.4020236863307	345.891	-2.6349664	14.326036815643311	-0.017005242514424024	33200	0.6377818333367877
900000	900	2048.356107711792	1059.1128897253252	1359.357350671462	765.8448960901696	1793.913677989895	-440.2919898428951	347.0379	-2.8974414	434.3400909423828	-0.007458575516939164	35120	0.9491856074898115
950000	950	2154.9209864139557	1667.2445053973556	1717.3017462379964	309.7243165432559	1865.6709937788542	-458.0246990631056	353.5934	-3.1173258	14.831637649536132	-0.020383821176365016	37040	0.5767943018251059
1000000	1000	2269.5485785007477	1738.3842033390133	1747.1329861126892	53.7969907450161	1827.261301149683	1384.130017340004	355.90692	-3.430077	14.454224653244019	-0.013293257863260806	39040	0.5068254976214897
