steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
50000	50	121.98648428916931	-412.8216925079919	-410.19183640197605	54.316656034194295	-294.99341901898487	-612.4947582556791	-45.85079	7.589728	47.335949096679684	-0.0203808323899284	1920	-0.0016513170412282285
100000	100	249.25811910629272	-185.14577874049485	-167.21372398958152	76.38676107887039	-60.91099288555875	-556.1704282117938	-52.07178	6.5936418	31.163716831207275	-0.022690300662070513	3840	-0.03266290883391321
150000	150	369.410302400589	139.81177165745072	157.0021859242481	113.78175900564011	315.1734521825027	-413.0246346156277	14.790798	5.754216	24.658835916519166	-0.02458842328749597	5840	0.48345459570164984
200000	200	496.62376832962036	468.7790918606618	477.7052860361913	64.72634338233777	589.3113076456805	240.76201168567482	67.52608	4.93502	34.25395584106445	-0.021722475765272975	7760	0.573017341496048
250000	250	622.1612510681152	688.4291381339551	698.3317167999311	59.65375175298738	799.4383276580613	456.2832840846398	111.89974	4.154327	37.70323446273804	-0.02271876239683479	9760	0.2952984215286808
300000	300	744.8129165172577	872.04504729647	882.9310138414751	63.836008152137445	959.1806050534354	466.8663483301031	152.93565	3.3036015	79.15480676651	-0.02632184836547822	11680	0.6896713171692729
350000	350	870.4578156471252	954.6614344583616	1006.9159370363823	272.6317834187552	1119.865709568535	-763.9321569963654	185.60712	2.589361	22.200440101623535	-0.02418381010182202	13600	0.4446248879636978
400000	400	999.6309628486633	1043.7712930557075	1113.5318623254561	365.74397932647685	1215.1889988762177	-738.4122210884896	214.66013	1.974834	15.595478982925416	-0.01912572033703327	15600	0.5153563263252828
450000	450	1122.0275263786316	1211.7982656124225	1211.1520659682924	35.61921115643566	1292.9127510847713	1127.4301040554167	234.89546	1.4249494	18.615718545913698	-0.020519536875654013	17520	0.5764066479767131
500000	500	1246.778171300888	1271.2779283129364	1296.6314671252862	212.09487392768852	1368.4242929611698	-798.3091998807154	257.72668	0.95981777	19.328427543640135	-0.02280169237405062	19520	0.5527350664803863
550000	550	1373.069384098053	1376.1476056614727	1372.0222618128512	37.85260195148493	1478.9905735243976	1292.1468262137776	274.42212	0.44620085	17.05834177017212	-0.021223886953666806	21440	0.5911560938730815
600000	600	1492.9824175834656	1413.139840038328	1434.528683138396	211.59948984446854	1529.9644863771573	-648.3537182579809	288.227	0.022541225	31.802036933898925	-0.019941786900162697	23360	0.9285713369991427
650000	650	1611.2046763896942	1487.6561614880648	1488.4020010751804	31.736240613342424	1575.305303825849	1403.4591100052055	300.1522	-0.43901244	17.076085872650147	-0.021330439709126948	25360	0.6353397110234171
700000	700	1735.562168121338	1516.0159222309694	1518.9375540973683	38.26439183296985	1600.8713472162772	1428.6280282490122	311.3165	-0.9451673	21.016136436462403	-0.0189055148139596	27280	0.6342400503007819
750000	750	1864.16756772995	1552.282856796559	1552.5546481207125	39.964731637573934	1657.7168013540117	1451.9813266997003	315.45312	-1.2424697	17.21845395088196	-0.021946963388472795	29280	0.719449137298043
800000	800	1988.2372610569	1599.3652487179752	1599.8983446047282	38.077440840260415	1676.5011483469443	1512.5677527980672	321.75925	-1.7825336	17.787211618423463	-0.017984589231200516	31200	0.6943855226852002
850000	850	2115.7224843502045	1549.648136071889	1611.7306137970759	347.9205676297474	1693.299004432241	-406.96526572123037	331.2195	-2.1711597	16.461680316925047	-0.019064886420965196	33200	0.6451660974682745
900000	900	2239.806027173996	1662.1844786454824	1660.7114602660201	33.359256110631	1737.0064687576298	1575.633383663314	336.71732	-2.5833368	15.459935226440429	-0.014749037129804491	35120	0.766245513567861
950000	950	2360.8469862937927	1676.6097613773281	1674.889002418679	32.36163933864002	1770.6350424684988	1601.893830024499	342.125	-2.9279406	11.888906421661376	-0.01580805500037968	37040	0.6766402007815135
1000000	1000	2486.4957695007324	1704.3281658249998	1704.6520221252745	33.98414609946353	1776.070348081927	1632.163830347049	347.23676	-3.1727042	15.216596212387085	-0.010655663134530187	39040	0.6726944960641306
