steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	1282.009119272232	2702.0344169680084	2750.5931146326557	312.292573765935	3051.051375682791	774.7424698675795	49.573093	49.470406	1.4458417230844498	1.5421594953536988	47501	-5.9902554	0.03679671511054039
100000	100	2866.8271431922913	3871.349661741927	3867.0493884232055	79.61651401314975	4043.089472535974	3702.556615130394	173.27745	173.29233	3.8552286505699156	3.9580138230323794	97501	-5.855242	0.0802258551120758
150000	150	4573.160106182098	4648.225022427133	4643.579851409979	57.998152042957855	4780.758562294514	4489.9599902118525	227.36821	227.38293	2.844213708639145	3.015486248731613	147501	-5.447218	0.10976843535900116
200000	200	6234.619205951691	5009.048748063709	5008.269633786315	65.63128329256199	5176.433637540446	4801.888709567907	276.93155	276.9877	2.625318616628647	2.5820283472537993	197501	-6.3381495	0.11887562274932861
250000	250	7899.897134780884	5318.788638653997	5311.843932472475	65.70975801359701	5499.729764021392	5148.04936080747	301.67374	301.71823	2.427015241384506	2.47743595123291	247501	-5.807625	0.1284550577402115
300000	300	9590.316738128662	5449.646885090292	5454.523488673196	85.17134111255555	5654.154112684177	5235.5946071476055	334.87576	334.93976	2.454550805091858	2.5116125178337096	297501	-6.329592	0.13457345962524414
350000	350	11207.350685358047	5582.976787783691	5580.004797077968	73.80485019824832	5755.723154163524	5401.459829795157	348.7397	348.79828	2.6648604691028597	2.5981314158439637	347501	-6.134797	0.1424044370651245
400000	400	12812.344552755356	5838.119151948197	5839.746504181853	72.11991263233294	6029.76403574588	5678.6499661790995	366.01376	366.10306	2.470361007452011	2.4181271266937254	397501	-5.6510158	0.1465347558259964
450000	450	14497.045296669006	6014.374324177821	6017.176569171957	83.79602291057672	6310.795992463196	5857.6099777135805	387.25214	387.24503	2.5094503819942475	2.511633713245392	447501	-5.896237	0.14988847076892853
500000	500	16123.574748754501	6242.159506697464	6244.119109759624	75.39854312902314	6410.985509355838	6029.177743941965	403.5909	403.77505	2.679999212026596	2.6161825013160707	497501	-6.078374	0.15384002029895782
550000	550	17782.227585554123	6673.483446176961	6664.894329743618	112.25191297420406	6939.169819805045	6414.9928845627965	422.62308	422.53287	3.1155088996887206	3.274029610157013	547501	-5.810498	0.16305765509605408
600000	600	19429.769352674484	6975.375780664419	6984.723008096826	91.32771114014098	7187.511628962581	6736.462514498465	434.54816	434.3051	3.2567625784873964	3.349141036272049	597501	-5.785304	0.1691979616880417
650000	650	21022.11108160019	7339.889980314507	7353.241035025987	93.68879838891458	7548.697686354443	7103.991287177624	449.7115	449.60495	3.7094391441345214	3.5556746315956116	647501	-5.805937	0.17856347560882568
700000	700	22696.448113441467	7586.748849345293	7586.435025848292	107.30723196929945	7788.531690604502	7274.434251418627	472.6302	472.54407	3.780572865009308	3.825463044643402	697501	-6.277512	0.18839380145072937
750000	750	24391.60888195038	7886.808525921007	7906.70521322541	112.68895642262616	8135.6287823266985	7565.548095892797	483.36496	483.1373	4.592842943668366	4.433446619510651	747501	-5.963705	0.19499471783638
800000	800	26071.767304182053	8129.578049407929	8150.675376129673	135.2813539346044	8402.05568653989	7827.2642907822565	504.95496	504.8809	4.610612630844116	4.498116011619568	797501	-6.152201	0.20734597742557526
850000	850	27749.403406620026	8477.525466123752	8491.868596223983	145.02001339206603	8924.311718811106	8010.74890861208	518.5506	518.38165	5.283053243160248	5.1887901449203495	847501	-6.1811495	0.21480494737625122
900000	900	29320.37003302574	8664.568410136928	8660.369152517485	118.32259487483344	8910.219367001502	8214.427384494513	531.99506	532.0569	6.183146135807037	5.903829538822174	897501	-6.168825	0.2244630753993988
950000	950	30918.94612956047	8952.42168361701	8949.353795474053	129.28703621771268	9229.783145964819	8536.605023761489	548.987	549.052	6.469375433921814	6.425295023918152	947501	-6.0917325	0.24249206483364105
1000000	1000	32529.348791599274	8943.182089591523	8948.459190228723	175.5899652122067	9268.119314723323	8261.463472833317	556.71185	556.7773	7.03577082157135	7.011055860519409	997501	-5.7396073	0.246829554438591
