steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	1665.2827098369598	2627.0543204538044	2996.5208197368556	754.5711873677952	3350.9494926846073	692.6142838973561	65.90899	65.79894	2.5856440150737763	2.6158244597911833	47501	-6.0561004	0.03689234331250191
100000	100	3494.2683384418488	4994.8146952881	4987.395353632917	72.41411149537501	5165.8220945622525	4772.410630319398	234.0119	233.81114	5.520026125907898	5.288947310447693	97501	-6.0503645	0.09769116342067719
150000	150	5293.2886967659	6003.216710912545	6030.30488831617	119.23302216839664	6201.165990799646	5452.031329983974	335.5204	335.65576	4.041843948364257	4.076940412521362	147501	-6.3400793	0.12414652854204178
200000	200	7152.620161533356	6521.926582803433	6518.501425854729	62.23279453162949	6669.314524235069	6375.390034918914	410.9758	410.99774	4.241810848712921	4.348333599567414	197501	-5.9063134	0.1375611573457718
250000	250	8974.530341625214	7117.74210439774	7104.600339350945	80.60068246539691	7417.24663324131	6860.891099137411	461.52414	461.53778	3.724599153995514	3.7428667974472045	247501	-6.0692177	0.14668230712413788
300000	300	10752.555575370789	7465.3154349277465	7468.055532648577	74.56449557005577	7662.059875308104	7266.312187120315	495.97513	495.8538	3.646714131832123	3.7726047229766846	297501	-5.9683704	0.15144413709640503
350000	350	12613.936004638672	7884.081663635209	7881.511744805221	82.17017678467704	8091.6352117419065	7699.715426166642	525.75824	525.9047	3.837959668636322	3.646439995765686	347501	-6.2284217	0.15742520987987518
400000	400	14362.100591897964	8331.979566968115	8340.193746030454	90.150459703162	8524.896516755263	8012.936354426707	558.3448	558.2309	4.449336686134338	4.2765292954444885	397501	-6.156318	0.16884207725524902
450000	450	16110.318024396896	8620.459244012536	8620.10674213921	101.18802735070304	8875.573233972107	8283.877153315938	582.9653	583.0024	4.745755858421326	4.561907680034637	447501	-5.8792853	0.18256822228431702
500000	500	17941.563590288162	8770.475738056894	8766.259859920387	83.67887443508971	8999.088882929762	8545.010552945496	619.8179	619.90314	4.848279325962067	4.6698979568481445	497501	-6.0914273	0.19019262492656708
550000	550	19718.8511800766	9142.468413980452	9151.245110232547	104.80427866093677	9332.626852645288	8877.868120695493	635.4335	635.51184	5.138852143287659	4.802554805278778	547501	-5.9847064	0.20086488127708435
600000	600	21529.11907196045	9282.742961112452	9295.266919218442	102.85469968453879	9560.787001182563	9060.742403336502	653.9944	654.05475	5.906149230003357	5.765270843505859	597501	-5.8618	0.2038777470588684
650000	650	23384.887632608414	9567.96948804166	9563.790442490092	93.76476002948866	9767.916015959345	9282.504873302472	679.68066	679.7583	5.511845581531524	5.38000245809555	647501	-5.9637475	0.20773561298847198
