steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	1543.8625345230103	3338.6838845516554	3334.404538583613	164.72839779800907	3725.8280744029007	2886.972470449123	84.24363	84.25845	2.905013518333435	3.0397892427444457	47501	-6.056639	0.045204415917396545
100000	100	3154.1387066841125	4548.608149267684	4557.100931821797	80.07493346697665	4724.963420098136	4312.865739117394	229.44292	229.20024	3.8900017142295837	4.165591287612915	97501	-6.3258457	0.0986156091094017
150000	150	4772.897378921509	5134.12333682461	5141.751867933521	65.99329460090826	5276.304025838185	4961.053928089662	293.53894	293.66895	3.116650359630585	3.45506502866745	147501	-5.8265142	0.11637971550226212
200000	200	6380.065831184387	6011.538486728212	6011.13982998219	106.4198044729725	6267.890604659176	5702.387878134094	346.521	346.61966	3.0754392671585085	3.372175374031067	197501	-5.9258204	0.12895061075687408
250000	250	8064.254391670227	6839.178847371486	6840.875286918217	102.25927046943434	7052.987918413205	6545.387938839365	398.04425	398.17572	3.6362305998802187	4.012471022605896	247501	-5.8050203	0.14697620272636414
300000	300	9731.991007089615	7059.710525840978	7066.816798760981	85.77192344803595	7257.707628557877	6827.957982487376	436.62183	436.71255	4.016548342704773	4.067575068473816	297501	-6.2758145	0.16106346249580383
350000	350	11390.894326210022	7544.394379972452	7554.72429133538	92.5128361228624	7720.679653545094	7309.148529858761	472.57913	472.37308	4.226202521324158	4.4511930370330814	347501	-6.010679	0.17330977320671082
400000	400	13011.972805023193	8306.168622721863	8304.921777688556	94.64744859020988	8583.943913512567	8071.996729873599	513.874	513.9396	4.78209659576416	4.892441582679749	397501	-5.851801	0.1859816014766693
450000	450	14643.010536432266	8611.692024499072	8769.386193210685	924.8511449488664	8991.832240521795	2830.00044248302	544.90424	545.06726	5.024063446521759	5.08178789138794	447501	-5.765609	0.19952648878097534
500000	500	16221.438634634018	9173.156183888012	9179.962631947918	91.93549160379874	9331.186180529492	8868.788730458396	572.1106	572.26697	6.772759339809418	7.0534321975708005	497501	-5.819824	0.21662908792495728
550000	550	17850.83299589157	9287.59073773612	9288.03972740417	93.76834024632531	9504.705569511802	9076.402502611752	596.965	597.0219	6.08281831741333	6.252470149993896	547501	-6.0462146	0.22623831033706665
600000	600	19440.43937754631	9775.824105580929	9774.385781030309	88.57549480880657	9973.600202331083	9587.11212641266	615.5322	615.49915	6.78351692199707	7.094421930313111	597501	-5.6167736	0.23970502614974976
650000	650	21026.21458554268	9952.04021019275	9951.681876526702	101.28919615893494	10152.089940576534	9711.357375552501	639.0486	638.9755	6.220042161941528	6.614482555389404	647501	-5.792545	0.24561110138893127
700000	700	22682.15369963646	9964.36145573066	9971.889706870674	75.96734686268678	10166.066450260978	9774.805555409686	653.5465	653.5455	7.671894297599793	7.995596396923065	697501	-5.9104967	0.26045531034469604
750000	750	24345.763488292694	10415.235807324454	10418.685655003785	89.27971045822932	10634.58398749358	10198.498561890154	684.50323	684.3991	6.48258900642395	6.5192519521713255	747501	-5.861443	0.2652234435081482
800000	800	25944.759702205658	10568.676925477645	10580.512831858541	90.12424922344798	10781.41954680468	10353.68562772225	698.1087	698.1178	6.819325923919678	6.713201541900634	797501	-5.696056	0.27559158205986023
850000	850	27582.585995674133	10662.519470873487	10716.573122383797	489.6348329587194	10889.439343729262	5894.91593798009	714.406	714.2029	7.043835711479187	7.09969123840332	847501	-5.816319	0.278645783662796
900000	900	29214.193853855133	10893.977543610648	10896.06677638171	109.758963205017	11242.609027334629	10583.972745518675	734.85693	734.8891	7.745431694984436	7.456189441680908	897501	-5.9234295	0.2795657217502594
950000	950	30841.938886642456	10985.866009074767	11086.603053468545	742.8449955728529	11396.063495351285	5673.455198254558	750.1844	750.4672	8.229684944152831	8.313548731803895	947501	-5.9404464	0.2818922996520996
1000000	1000	32459.548419475555	11075.727412356795	11075.76597075835	88.82765862184974	11292.573983775652	10782.051785124953	766.597	766.47473	7.660633544921875	7.686571493148803	997501	-6.207454	0.2897690534591675
