steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	1670.6300122737885	2722.8241301392436	3075.7818358102336	780.6103053926557	3419.5136195256596	405.1604920565248	76.19337	76.16095	3.4077610564231873	3.394785716533661	47501	-6.2729025	0.04012768715620041
100000	100	3459.6203458309174	5558.639417132395	5560.947551936135	58.437533289283515	5679.1084518436455	5359.624620958428	254.02365	254.04776	5.265953848361969	5.012860381603241	97501	-6.0356517	0.11714781075716019
150000	150	5262.183222293854	6749.553394338536	6744.9099713192145	60.92036148829032	6882.710833884327	6601.908172683285	347.88083	348.07507	5.882701117992401	5.462764201164245	147501	-6.03975	0.16529808938503265
200000	200	7070.794874429703	7261.68741552852	7267.448417946727	82.12022036401294	7447.812490652538	7083.9736260417185	417.94263	417.9187	4.766412010192871	4.588397552967072	197501	-6.0790644	0.18686887621879578
250000	250	8893.556150197983	7705.676064897769	7705.623501430198	70.9236808264083	7859.076069619803	7552.275947894971	458.71777	458.94003	5.035893280506134	4.848925311565399	247501	-5.8378477	0.20073242485523224
300000	300	10730.928422927856	8317.254926378595	8361.408731669067	390.81592301825964	8617.243210017903	4623.83862403929	505.37024	505.38712	5.274939529895782	5.19968355178833	297501	-5.730286	0.20752020180225372
350000	350	12512.898384571075	8347.74829692762	8360.721618506064	89.72566442808335	8576.483701043757	8138.484135415635	557.9951	557.9017	7.3838889694213865	7.387611193656921	347501	-6.2838635	0.21222825348377228
400000	400	14356.96484875679	9216.077250418872	9231.687778070445	117.45106410949988	9513.484134093975	8957.842081117784	601.2221	601.1199	8.419971714019775	8.519901113510132	397501	-5.8927665	0.21186089515686035
450000	450	16174.816725254059	9529.879339966212	9537.800383291884	110.92752351019159	9770.30464026673	9205.706614890103	637.4653	637.5681	7.789541521072388	7.852417149543762	447501	-5.909137	0.21873702108860016
500000	500	17917.743468761444	9750.272392710907	9770.532691133	157.82606829226847	10107.484410179572	9198.343811390365	676.57336	676.5601	8.747439098358154	9.161379022598267	497501	-6.3796825	0.22985820472240448
550000	550	19761.586426258087	10150.98938893529	10154.69567555602	95.32596099513785	10386.411425357366	9872.294492031011	696.5756	696.591	8.429060640335083	8.419881830215454	547501	-6.2571387	0.23529914021492004
600000	600	21538.800663471222	10464.716332301066	10475.953584584644	108.51630784082279	10718.649811106263	10067.311947537857	709.58527	709.7962	8.941987657546997	8.721681261062622	597501	-6.1956053	0.23966257274150848
650000	650	23396.34234905243	10639.850478934954	10634.54780567351	95.28775904449773	10847.512352798389	10370.26620566168	742.33185	742.47076	9.142139592170714	9.293683948516845	647501	-5.968804	0.24435226619243622
700000	700	25198.29257631302	10980.254124509565	10992.960966004777	136.65355567161066	11247.195202958752	10476.069726769265	765.45013	765.45056	9.261588306427003	9.384512548446656	697501	-6.0592237	0.2503994405269623
750000	750	26963.275434970856	11171.34078622901	11183.452906021437	117.79999479561367	11437.447029670568	10837.566266005275	779.0883	778.998	9.795418138504028	10.095624513626099	747501	-6.0530133	0.25751063227653503
800000	800	28737.50917649269	11172.76958200575	11169.89593894545	103.91033908688746	11423.68046702378	10925.468384356824	803.8921	804.0041	10.398863191604613	10.578052735328674	797501	-5.969145	0.2656858265399933
850000	850	30511.251296520233	11207.251766767644	11201.926686375049	108.51832306076356	11554.960714088886	10977.480404247313	819.6513	819.7024	10.797879567146301	10.829550876617432	847501	-6.0391994	0.26785311102867126
900000	900	32293.52586388588	11323.297034564455	11414.731352466144	934.7723157530136	11655.412064806374	2164.538083771139	844.54675	844.7238	10.39838399887085	10.224975490570069	897501	-6.1335297	0.25998198986053467
950000	950	33868.267447948456	11668.03807050077	11668.390572852088	127.95095174674971	12019.317006646079	11356.977740503944	845.18494	845.2772	10.309678831100463	10.524041719436646	947501	-6.090256	0.2617429792881012
1000000	1000	34686.91389799118	11343.121756453815	11358.205361442378	122.03456905542943	11582.469353185266	10972.141129878353	859.1415	859.11743	10.67720187664032	10.781721620559692	997501	-6.0928874	0.26175233721733093
