steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	902.6600594520569	2815.8582696957337	2819.965384897305	86.400097693014	3051.143770907502	2603.827640517412	64.87803	64.9417	1.7235050928592681	1.6530952644348145	47501	-6.2488594	0.04391983151435852
100000	100	1865.7383246421814	3926.9001024436575	4006.656918291656	480.4638127762995	4247.132499228711	940.7924634062139	191.71558	191.79941	3.0948814153671265	3.045424425601959	97501	-5.9039955	0.09133616089820862
150000	150	2818.424900531769	5453.435680789448	5454.667828651964	106.03233310681495	5688.336778972267	5072.97564265947	277.67093	277.65244	4.347394123077392	4.355859627723694	147501	-5.974157	0.12105964869260788
200000	200	3770.822274208069	6359.862276740891	6349.729286393827	119.55150521678814	6702.522612493821	6048.575239478517	354.03	354.1566	4.435748641490936	4.333869700431824	197501	-6.1354904	0.14925739169120789
250000	250	4729.367107391357	7438.034909684881	7434.519813452134	111.67293446749198	7801.44976358551	7122.178785816794	416.4183	416.5272	4.857586448192596	4.750080380439758	247501	-5.8976965	0.16368167102336884
300000	300	5686.717440843582	7784.31031440326	7784.308440888502	111.4603831809166	8013.106699960985	7363.309244656019	474.3196	474.4152	5.462879848480225	5.321912434101105	297501	-6.373146	0.1789155900478363
350000	350	6640.6992247104645	8243.384220634434	8250.269284683898	107.06945074277091	8483.299372978852	7980.305338752982	508.86957	509.01562	5.732655634880066	5.764112362861633	347501	-6.114848	0.1881256401538849
400000	400	7602.361633300781	8163.564232748497	8160.183460064614	70.81561396194125	8383.307330562937	8005.705380123573	544.2889	544.301	5.872576475143433	5.557377507686615	397501	-5.841586	0.19735370576381683
450000	450	8500.094053983688	8635.083454586033	8638.575016140014	98.84451886334189	8810.087615492614	8396.886974944246	572.27576	572.3181	5.892785899639129	5.768682880401611	447501	-6.1944265	0.19872502982616425
500000	500	9301.13024187088	8733.23746120976	8735.433393289562	102.3319375889298	8936.609388907695	8491.219245086802	603.06555	602.9584	5.851216967105866	5.838568441867828	497501	-6.1390104	0.1989162564277649
550000	550	10108.42668890953	8839.701642962242	8842.499784533189	85.55341169910547	9044.424101880008	8626.811650904305	620.528	620.4951	5.704611194133759	5.68755108833313	547501	-5.761047	0.19850803911685944
600000	600	10912.001940727234	8634.473084328847	8648.148219071081	73.53750991212186	8787.358612275013	8450.417233186983	640.99365	641.045	5.631715767383575	5.524777410030365	597501	-5.9791975	0.2000638246536255
650000	650	11699.616836071014	8877.185004832128	8880.870582587575	73.46627841458206	9022.474124233124	8651.516578884055	654.7188	654.9528	5.629690296649933	5.642345149517059	647501	-5.911271	0.19706083834171295
700000	700	12304.139625787735	9028.591427323128	9023.482863378902	76.04665473773152	9185.629028223206	8862.902539020137	668.96906	669.0325	5.485546588897705	5.549690189361573	697501	-5.9107413	0.19753073155879974
750000	750	12898.189949512482	9089.115561878749	9088.131925105987	71.07709145913712	9311.752715241219	8900.799439188935	682.71893	682.8745	5.352517006397247	5.3250512957572935	747501	-6.296224	0.20091532170772552
800000	800	13502.703406333923	9291.853451114961	9297.316594610136	101.28814232626937	9530.36099389531	8960.393995478096	697.29156	697.55927	5.356463370323181	5.514935078620911	797501	-5.8728914	0.1944199502468109
850000	850	14085.060802698135	9320.973679340885	9324.350125632693	74.67078741730113	9474.6054571114	9088.742286375877	703.3208	703.55066	5.099437754154206	5.004919085502625	847501	-6.022639	0.19382764399051666
900000	900	14700.11712384224	9328.059804301205	9331.79446677506	86.36932993214127	9499.21410742711	9115.37064449076	713.008	713.21875	5.216974015235901	4.9722931814193725	897501	-5.820334	0.19195342063903809
950000	950	15302.2972843647	9500.694179989985	9507.740835632603	87.7984338703145	9682.115055353406	9298.993430059429	732.1652	732.17633	5.1233536458015445	5.180593614578247	947501	-5.8437595	0.1880185455083847
1000000	1000	15894.12996172905	9515.263460815819	9515.048688100946	81.34577552369397	9724.047359693812	9273.96807902643	729.15155	729.0148	4.768516921997071	4.830770947933197	997501	-6.074763	0.18886631727218628
