steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
50000	50	1075.2342233657837	1275.8890963526803	1335.2980562373896	279.99362628300753	1456.7903479804916	-50.22025392617334	56.193142	56.376892	1.5999875092506408	1.6057050335407257	-57.28248069763183	23750	47501
100000	100	2350.607202529907	1529.608333298612	1529.7741961971892	34.68344091385066	1620.023358088692	1386.9593155727607	91.86066	91.865616	1.59656018614769	1.603637752532959	-92.93811256408691	48750	97501
150000	150	3599.908814430237	1628.2886808490582	1648.8784877701924	210.9336020827266	1757.1832409805743	-420.72903940323573	111.16273	111.19041	1.5476893055438996	1.4823672580718994	-111.9067667388916	73750	147501
200000	200	4859.134553670883	1691.9516297119333	1688.6253417969701	30.179007433363015	1765.3941884390815	1610.8154685740722	122.15669	122.30587	1.3903356862068177	1.384933681488037	-123.4231039428711	98750	197501
250000	250	6123.55396604538	1756.742811277778	1755.555677515373	35.20214932002217	1829.7328999263534	1638.3526561515905	131.35376	131.3682	1.3183627194166183	1.3124351239204406	-131.74462371826172	123750	247501
300000	300	7384.991875886917	1798.145163110342	1803.7009044431136	36.49190578701528	1893.8874685617393	1674.812134616872	137.45328	137.51674	1.2949680882692336	1.305802896618843	-137.8203044128418	148750	297501
350000	350	8661.307371377945	1861.2468125757102	1864.1933425529746	33.657368198197	1949.822871849982	1784.0284045735436	142.05452	142.06322	1.2891703575849534	1.3099647718667984	-142.40813705444336	173750	347501
400000	400	9960.123338222504	1902.063663702521	1897.4661238875315	30.399093468796437	1971.3461600524845	1826.0532637251217	145.62653	145.68553	1.2954210084676743	1.294015651345253	-146.2130973815918	198750	397501
450000	450	11246.739011526108	1930.7945042855451	1933.2789444312057	34.57408835063291	2016.6844285606162	1850.974635867638	150.36166	150.382	1.2607994538545608	1.2499835681915283	-150.39934280395508	223750	447501
500000	500	12557.572215795517	1926.6785531529301	1925.8481267887973	27.465726280732376	1994.191881131569	1844.8611634271062	153.25024	153.26419	1.217570269703865	1.164827243089676	-153.89651260375976	248750	497501
550000	550	13877.630920171738	1997.9826247777894	2001.0310075686352	30.81027736127221	2075.260004621011	1923.1964199073047	155.64615	155.70882	1.1829066741466523	1.1998311692476273	-156.85277069091796	273750	547501
600000	600	15150.675321817398	2071.3884255545095	2072.5968826457542	30.76260612752273	2136.353490437274	2001.0766135627343	158.84471	158.85114	1.2023997527360917	1.1675943893194198	-159.59128540039063	298750	597501
650000	650	16429.066842556	2074.130422223811	2076.7452371109275	27.135772879136084	2139.075256549827	1999.7666586195571	161.35425	161.37782	1.2997620087862014	1.2426018154621123	-161.70516723632812	323750	647501
700000	700	17723.810328006744	2075.8882833986527	2076.8530940743485	30.238627810082917	2155.1552634250784	2010.8937557921759	163.07425	163.05191	1.2534570121765136	1.2183110845088958	-163.69845733642578	348750	697501
750000	750	19009.038304567337	2120.1166485920494	2119.4483134632474	29.895978321660547	2204.3372426827136	2033.9729499416765	164.33136	164.4443	1.2729670011997223	1.238083816766739	-165.1645831298828	373750	747501
800000	800	20327.921193361282	2136.992695646787	2137.2372437049617	32.491637059203654	2209.838314542025	2052.4065864120835	166.67445	166.71696	1.2389828705787658	1.2320931553840637	-166.69703399658204	398750	797501
850000	850	21615.274027347565	2149.452591595547	2146.331507485908	32.85024923325658	2230.053773647444	2057.6902270004866	167.81018	167.96982	1.2511526012420655	1.2676932299137116	-167.82967788696288	423750	847501
900000	900	22943.454601049423	2136.4447222626895	2138.822101805913	28.009162534682655	2194.352756252466	2072.9220974394298	168.72408	168.69888	1.3045394837856292	1.2634244459867476	-169.1552670288086	448750	897501
950000	950	24255.41645503044	2151.229318071277	2147.979109403612	28.248378468470815	2223.3410465985544	2091.995623880039	169.77864	169.72635	1.2687544018030166	1.2130839502811432	-170.2550456237793	473750	947501
1000000	1000	25594.750029563904	2141.6570678150797	2143.296157293101	29.65868150158674	2213.7066669253213	2069.2397688179685	170.1602	170.09474	1.213082424402237	1.1825764214992522	-171.18145629882812	498750	997501
