steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
50000	50	1137.9871635437012	1213.9545656719754	1250.8010410473826	254.34657966844935	1639.844067519851	-65.87688801054371	42.410378	42.43543	1.603142421245575	1.5492435276508332	-43.90985527038574	23750	47501
100000	100	2333.1525654792786	3525.7038359395365	3867.453950727677	809.1634413311211	4219.447952088879	548.2973464508152	111.448906	111.70198	5.969616277217865	5.909597265720367	-113.15520233154297	48750	97501
150000	150	3603.445033788681	6028.19974584144	6037.592246564517	82.43372594902115	6209.752849402568	5824.650539511719	218.0842	218.26245	13.985798449516297	13.757588057518005	-218.33760604858398	73750	147501
200000	200	4872.136279821396	6537.889339000466	6549.387910204086	76.63535053872674	6712.265399720031	6321.294611064919	304.3745	304.5095	13.932348842620849	14.106501321792603	-310.89543518066404	98750	197501
250000	250	6144.438683509827	7329.195395325072	7338.7714062801915	93.46534048751973	7548.090774883244	6988.5217057541995	368.77258	368.68658	13.231212940216064	13.34434147834778	-379.11593139648437	123750	247501
300000	300	7432.103312492371	7925.700020291435	7937.771234880779	114.51976534662914	8175.921199093756	7588.640677914099	432.88364	433.04663	15.593243284225464	15.228803071975708	-436.41437896728513	148750	297501
350000	350	8708.639923095703	8227.335125699577	8232.989883112841	92.83379447970323	8415.145961379862	8015.8497163437505	496.69775	496.83066	15.245359935760497	15.372023530006409	-490.6575323486328	173750	347501
400000	400	9989.425026416779	8258.067006035966	8270.513340915419	131.23544302772052	8493.743594741269	7521.474001781679	526.2544	526.2736	16.35636618614197	16.580947427749635	-532.8050271606445	198750	397501
450000	450	11299.677569627762	8481.098288172074	8491.079759862185	104.56948559731062	8710.50833810068	8157.271233974522	549.6416	549.4316	15.98776656150818	15.481036014556885	-563.6001434326172	223750	447501
500000	500	12592.57015132904	8155.8710221405645	8156.39494877843	103.83131459441515	8359.085016650293	7890.10512986836	575.3124	575.2622	16.080189065933226	15.832238702774047	-585.5622045898438	248750	497501
550000	550	13881.836324930191	8716.408753144658	8720.901797048993	113.61564943967817	8990.444780176662	8456.361188717206	591.28827	591.0842	14.758556780815125	15.240252556800842	-599.5356341552734	273750	547501
600000	600	15225.928693532944	8878.681786672889	8891.449649257444	92.81868860491359	9087.350643098282	8632.798100898564	612.2798	612.324	14.413288793563844	14.45511739730835	-613.0029278564454	298750	597501
650000	650	16549.799400806427	8885.105513685692	8893.346765611794	99.77858591428692	9134.686631711356	8617.036895316009	621.218	621.1811	14.410770511627197	14.648902287483216	-622.8825341796875	323750	647501
700000	700	17874.3208963871	8769.373338388052	8770.709225272576	91.02455905476768	9050.794996807546	8546.235768184724	626.48096	626.52203	15.110454206466676	15.03685040473938	-633.8798181152343	348750	697501
750000	750	19205.340817451477	8932.511231408796	8936.000301391829	93.84910499499422	9117.135076852655	8596.181779958717	649.9721	649.7904	15.677563285827636	15.988062295913696	-640.3536840820312	373750	747501
800000	800	20515.178934574127	8954.407638267738	8986.803884301262	467.0571436157541	9342.797371855826	4537.04741497594	646.71625	646.4914	17.628997735977173	16.969935331344605	-647.8766900634765	398750	797501
850000	850	21834.30033159256	9340.86104752244	9350.055597493036	99.1513438683236	9531.490461450616	9080.882715811227	646.08563	646.2079	16.06941530227661	15.573151483535767	-658.065961303711	423750	847501
900000	900	23138.17739892006	9397.73780503934	9403.895165649832	121.43502859119512	9660.992153251113	9054.777920038981	660.99023	660.71594	16.0358470249176	15.591012210845948	-665.9264495849609	448750	897501
950000	950	24472.755544900894	9331.106491812725	9317.963746123303	106.25599082404798	9692.326537436858	9109.62086021596	662.718	662.6264	15.623614511489869	15.330686626434327	-670.311572265625	473750	947501
1000000	1000	25706.468098163605	9410.086303624237	9403.641676035302	104.73611230741783	9799.9415895448	9093.003722055015	666.7296	666.61975	17.160471420288086	16.515132694244386	-673.3475671386718	498750	997501
