steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
50000	50	839.3112471103668	1041.0187195685517	1031.270680697462	157.69009006906884	1435.1542017646584	115.87107912070834	33.809547	33.916965	1.7412979698181152	1.7290989542007447	-35.155796165466306	23750	47501
100000	100	1746.1435747146606	4181.764388781263	4230.907562231408	373.8089122798039	4588.3501515122025	1446.9250415340907	117.61038	117.56872	10.211209855079652	10.492094836235047	-121.37638732910156	48750	97501
150000	150	2577.281559944153	5286.6479900657205	5284.46658891914	118.37955851820522	5571.536921407183	4956.290568145856	231.46825	231.56241	15.747737798690796	15.24646201133728	-227.75495254516602	73750	147501
200000	200	3536.0283699035645	6281.031442718332	6340.616017049635	573.9079211301681	6649.465741454437	821.129252763074	319.66943	319.66083	19.237509174346926	18.833196029663085	-315.71437469482424	98750	197501
250000	250	4473.3738849163055	7400.26944809887	7707.244039019202	1082.206879245113	8067.332842427931	1659.032243762033	393.8707	393.63068	22.66582664489746	21.631189231872558	-399.27722229003905	123750	247501
300000	300	5336.159518480301	7741.48306661393	8183.671343503121	1329.6822149656846	8576.710874910304	1949.7268660943193	466.39212	466.5422	30.525678339004518	29.523499660491943	-472.13441650390627	148750	297501
350000	350	6256.669225692749	8835.406832889576	9284.61642478771	1591.344408826064	9778.80185503745	986.6496066092134	524.91223	524.8585	34.39071699142456	31.85293346405029	-524.9372512817383	173750	347501
400000	400	7187.516722917557	9889.751690888957	10016.36784016274	926.6014401311128	10554.349121810661	3031.0531500881884	573.0439	573.1381	38.34755262374878	37.87031440734863	-569.6821398925781	198750	397501
450000	450	8351.496919870377	9520.195997350214	9530.94770463962	186.22680352541946	9886.960727965725	9117.140506035692	617.93774	618.3162	58.46104969024658	61.44744409561157	-622.7906726074219	223750	447501
500000	500	9859.471041679382	10699.586244293774	10739.801838391495	342.47996588403953	11153.77416001575	7925.475975650565	649.133	649.7116	61.99415153503418	61.557367420196535	-656.1852612304688	248750	497501
