steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
50000	50	1311.1399376392365	1603.2786651911142	1725.7267514230916	456.2697718104868	2360.7378867776483	-176.92213840607016	33.368538	33.439564	1.884415090084076	1.9094498205184935	-34.92778312683105	23750	47501
100000	100	2718.047051668167	4375.636886559405	4456.265961382071	467.4740035025552	4771.693421632709	1125.7532559405827	145.19868	145.03755	9.647089328765869	9.601113147735596	-144.63084396362305	48750	97501
150000	150	4203.128710031509	5687.619828410678	5906.598394512323	829.7855887411893	6312.481698180855	2145.6750751398035	251.93082	251.87389	18.96138500213623	19.778546934127807	-254.36800399780273	73750	147501
200000	200	5628.212388038635	6827.263559186233	6908.667465448041	470.62280664387157	7335.330960834739	3136.855796071838	348.7392	348.4929	27.252961406707765	27.117673721313476	-346.9186993408203	98750	197501
250000	250	7111.399615764618	7728.442434785411	7745.02956598289	125.15469914298298	8048.561169437878	7310.614548957725	417.9843	417.84015	26.148211345672607	25.98338981628418	-426.19585083007814	123750	247501
300000	300	8551.444972515106	8676.560834624997	8673.46126576613	161.60442823358963	9016.883524126888	8279.557825607753	464.9484	464.8428	28.057691287994384	28.258505725860594	-483.2019030761719	148750	297501
350000	350	9953.961442947388	8632.397871127941	8656.450888002717	168.22478616996483	8956.24177868041	8181.177887204136	531.22864	530.9045	28.89637523651123	29.240610980987547	-531.9149765014648	173750	347501
400000	400	11413.879750013351	8801.391147443574	8813.935978961956	138.6314039158684	9129.869747181296	8392.028792459387	557.06464	556.70306	31.11121271133423	30.300237579345705	-567.4908795166016	198750	397501
450000	450	12788.878532886505	8477.317927523307	8547.843368068843	618.2759246068568	9027.951590992303	2576.7506546956315	594.056	594.2405	30.97177658081055	31.823817138671874	-602.2147833251953	223750	447501
500000	500	14069.679660320282	9590.362707782348	9595.550633522562	111.26680662082865	9804.720416650001	9206.221444311072	619.815	619.52234	28.25029178619385	28.121979503631593	-627.5648864746094	248750	497501
