steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
50000	50	2156.862260580063	1097.1306005037704	1120.19241876648	169.0812865000511	1400.2264710373215	44.195829927816455	48.350067	48.491634	1.9316254091262817	1.8900671052932738	-50.10028305053711	23750	47501
100000	100	4809.1477227211	1754.0517496070179	1798.369177550511	582.6056642421835	2495.308086925447	-521.4626376366356	83.64558	83.61652	2.998001139163971	2.947884510755539	-85.00925468444824	48750	97501
150000	150	7235.397575616837	5075.428284571978	5085.908396113641	70.13304845291826	5229.6895114827275	4817.748531995157	138.02573	137.91725	12.350741515159607	12.495461082458496	-137.3523129272461	73750	147501
200000	200	9853.89842915535	5690.836414252464	5691.823853370022	52.09835779893986	5797.688079827938	5520.138662275324	213.47543	213.66473	14.226248645782471	14.247236099243164	-212.97208602905275	98750	197501
250000	250	12025.266766548157	6003.611864665734	6005.089183508768	106.69480952197188	6264.906647436228	5743.365483744477	270.98444	270.6499	14.857891092300415	15.40252776145935	-270.16185272216796	123750	247501
300000	300	13453.838432312012	6226.499987948686	6258.057114136838	353.483777507816	6479.468975990535	2890.5938080881233	317.79282	317.76852	11.745057983398437	11.904015793800355	-326.2796966552734	148750	297501
350000	350	14886.850787639618	6598.368965173542	6601.0174746530465	73.23231601370226	6819.007853403638	6357.980144063975	359.8711	360.07312	10.562746047973633	10.564748129844666	-363.43087310791014	173750	347501
400000	400	16289.959366321564	7156.4100772615375	7164.581246205784	97.3420053828649	7352.3936314448265	6785.799582344601	407.37338	407.3749	11.703234810829162	11.914382557868958	-403.41900634765625	198750	397501
450000	450	17685.514379024506	7466.001103545112	7515.149727332901	458.3092339968871	7804.293280293628	3055.269544887792	451.8342	451.9672	11.334223046302796	11.59425832271576	-448.9462649536133	223750	447501
500000	500	19072.29367661476	7736.227865394888	7729.235373255435	115.08225991516863	8022.069160100757	7472.308849685456	490.30872	490.2978	11.520105595588683	11.269104838371277	-484.82768280029296	248750	497501
550000	550	20478.63081383705	7814.688170822715	7821.323022872075	138.70751265684626	8109.835625027887	7260.618992798167	503.72345	503.93225	11.713968067169189	11.851082491874696	-511.2028778076172	273750	547501
600000	600	21887.632089853287	8218.692563157914	8224.739690641887	100.33881409317824	8463.855609869051	7914.717249880681	541.0941	541.14246	11.867277731895447	12.237477955818177	-536.2181994628907	298750	597501
650000	650	23328.82132935524	8231.222380600808	8221.2924624265	91.80539073989966	8479.350911845346	7997.094739263825	554.6891	554.486	13.126216158866882	12.531997566223145	-556.836947631836	323750	647501
700000	700	24711.891103744507	8553.435910587366	8553.174237988824	99.48370529898502	8765.112855706011	8281.593477709388	573.76904	573.91235	12.489885878562927	12.877592072486877	-577.3497509765625	348750	697501
750000	750	26159.44686603546	8344.036540390553	8344.010245751171	103.65599166259474	8599.24657479057	8049.056230700367	586.9777	587.0198	12.769926438331604	12.785209770202636	-591.4132537841797	373750	747501
800000	800	27571.675998926163	8864.418139958549	8867.238522247644	97.7721999459171	9140.411888751214	8605.313909713106	611.109	611.36914	12.938270454406739	12.755190505981446	-607.1795947265625	398750	797501
850000	850	28331.049277305603	9003.13195733385	8989.508486038194	89.99918926126591	9222.803859804195	8803.205239342446	626.2532	626.5364	13.185812015533447	13.09224335193634	-621.1958221435547	423750	847501
900000	900	29010.77584004402	9337.48725796524	9337.340248394263	120.80904129935178	9631.133103370017	9048.499751915879	633.488	633.498	13.723260712623595	14.116469311714173	-635.5319000244141	448750	897501
950000	950	29702.106241941452	9486.72731017024	9523.310568511613	380.26372993282735	9800.009270950002	6003.7574569229355	656.29175	656.14417	14.266337289810181	14.555277967453003	-646.8316729736329	473750	947501
1000000	1000	30376.71816802025	9472.574813998226	9470.078721266924	147.0752090142935	9826.176260064194	9136.879815924549	662.835	662.9167	14.851665287017822	15.509280557632446	-658.2783819580078	498750	997501
