steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
12600	63	145.73966073989868	-276.364752613941	-238.91849665265232	176.11268467968335	-0.2758060768194052	-612.484441193736	-85.50613	-85.52563	0.9792743790149688	0.908978708088398	80.85288215637208	5050	10101
25000	125	326.3618106842041	-249.33410127571636	-234.5458047490917	164.0316466010606	-1.2120562093204479	-612.1977776543986	-84.96246	-84.82303	2.792633148431778	2.22666449546814	80.95167980194091	11250	22501
37600	188	500.57676005363464	-260.0343127598586	-239.18350356329233	162.96144727633057	-1.9232108853522922	-612.5934964617018	-70.18817	-70.29267	1.8636778920888901	1.7663080352544784	73.44427867889404	17550	35101
50000	250	668.6919341087341	-247.28524132638637	-236.78333328460104	160.56478381046807	-0.660390574736034	-624.734201219463	-63.001484	-63.056065	1.602198259830475	1.7612559390068054	64.65765441894531	23750	47501
62600	313	839.5492794513702	-229.16239211613657	-129.7442426203317	154.89536515518577	-3.3259954531704925	-610.2818598807625	-56.665115	-56.552727	1.4468756091594697	1.1557300233840941	56.42825824737549	30050	60101
75000	375	1009.9997246265411	-239.0273533014854	-128.89436228244384	168.58894362587122	-3.6964522133044713	-624.3775839228001	-52.762135	-52.743134	1.2196677818894386	1.2896132704615593	55.30733539581299	36250	72501
87600	438	1182.4431927204132	-267.4568819673528	-183.29258649377073	172.62780566475246	-3.8577192176023916	-628.0920916048601	-51.2261	-51.14395	1.732605152130127	1.6124270054697991	52.36012954711914	42550	85101
100000	500	1349.7945201396942	-536.8432005033279	-367.64630605705486	423.2768277315703	-0.07554693145747066	-1173.9099199632312	-43.183414	-43.178272	1.44160738915205	1.4392092698812484	50.756133575439456	48750	97501
112600	563	1511.247594833374	-260.86442394307545	-237.0640059831839	166.42521059079897	-0.11650281369890149	-588.8940923681188	-46.883358	-46.798603	2.0636914363503456	2.062142494916916	48.48692565917969	55050	110101
125000	625	1682.3005414009094	-224.60800446892736	-126.52091990264984	143.30035861565227	-0.2908164804426998	-611.8507842299247	-45.74431	-45.738342	1.6027984157204629	1.5007140997052193	47.322148170471195	61250	122501
137600	688	1856.840604543686	-227.8105856123422	-180.2812976030846	159.83079380773793	-0.4660391175769529	-619.6404755449925	-41.485313	-41.395454	1.3492443829774856	1.208329530209303	44.83649726867676	67550	135101
150000	750	2031.5612967014313	-260.57123389591965	-238.07412796342493	182.3797584742696	-0.44679598270552034	-615.4228052470374	-45.100513	-45.19411	1.5555442351102828	1.4083091405034065	43.07435661315918	73750	147501
162600	813	2212.0826301574707	-230.18236570409695	-126.8571800419349	161.88868389167743	-1.2149064604637718	-578.2610521556402	-42.00553	-41.920563	1.4373309630155564	1.4343121856451035	43.11051008224487	80050	160101
175000	875	2396.793091773987	-255.56758796356513	-239.34730402669584	169.53942097710646	-1.5718431843115876	-604.1320635173066	-39.20537	-39.146233	1.4704826641082764	1.5043863296508788	42.13826507568359	86250	172501
187600	938	2581.580069541931	-261.39585552854606	-239.09162773783547	162.3752166472585	-0.6361228781572722	-604.6713870368068	-42.723194	-42.696064	1.273536012172699	1.066050496995449	41.36683576583862	92550	185101
200000	1000	2767.573002099991	-238.55216436038944	-180.18727611334612	164.04100944587793	-0.8284692948400675	-604.791976410875	-40.93721	-40.92761	1.2971614879369735	1.2045903086662293	40.40648735046387	98750	197501
212600	1063	2958.8950939178467	-246.3372475479918	-237.2553784046787	158.33725301249694	-0.576938963229585	-625.3886297851176	-41.13799	-41.136845	1.3683735769987107	1.424203332364559	38.65891958236694	105050	210101
225000	1125	3147.8516936302185	-247.25267919456212	-237.60056580653298	162.41409527796213	-1.736323245241623	-616.1073876100618	-39.623783	-39.801113	1.3166814687848092	1.481895218193531	38.29379096984863	111250	222501
237600	1188	3341.598296403885	-234.43416369482824	-127.75898122663989	147.06382555393284	-1.9198188536230167	-606.5616429003156	-38.260704	-38.09644	1.0549341478943826	1.0665563887357712	37.49334199905395	117550	235101
250000	1250	3536.3212242126465	-249.51002480981717	-231.98730400058642	166.61132472680575	-0.27437824057828997	-615.0074129299745	-37.070587	-36.97236	0.8581315574049949	0.9440298610925675	35.9953862953186	123750	247501
