steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
12800	41	108.18075394630432	-109.25335368192624	-109.18182865934602	0.21715651923184176	-108.93635815291464	-109.91659439613422	-3.5718627	-3.621969	1.2499292784929275	1.2160078379511834	2.8515910732746126	5150	10301
25197	76	357.7057065963745	-101.79282540685986	-99.24690557801436	28.78063117822493	-60.78054090310802	-200.34818506743787	-4.3304358	-4.4563084	1.392331205904484	0.9543625095486641	4.2966058528423305	11349	22698
38978	111	558.9039349555969	-102.5842352061667	-113.09596581580226	21.813131612248515	-53.396848975993265	-129.32466071738426	-8.000772	-7.9765835	0.7579217860102654	0.7193248683214187	7.011721124649048	18239	36479
50548	126	830.78981590271	-2.9383950003337107	12.494425931320952	36.19502158112958	31.141831329940864	-105.25984257843092	-7.657954	-7.6481752	0.7221572890877723	0.6562782439589501	8.107596974372864	24024	48049
63262	136	1088.2574548721313	54.70434663126416	104.42891705258711	78.31192409325944	120.55402194557558	-104.52273573221949	-7.1765137	-7.19391	0.7515284560620785	0.6801571941375733	6.29975811958313	30381	60763
75662	148	1276.9203448295593	-50.828956646897915	-63.5821032442379	53.064433805988806	143.85143030715912	-105.24457410364008	-6.8500347	-6.913931	0.6002787372469902	0.5920730811357499	6.378935260772705	36581	73163
87680	157	1500.9435510635376	-1.3212091862762696	-24.516175514826035	94.28189272885334	174.07928360138692	-107.90038001639583	-6.0278068	-6.015919	0.5383446696400642	0.5260337343811989	5.661275360584259	42590	85181
100480	165	1757.3216586112976	-2.355567982643084	-90.17635157745117	140.14208705562837	249.91219299226705	-124.32345352957721	-4.5562725	-4.519467	0.4572994183003902	0.4473838575184345	4.05546478509903	48990	97981
113450	174	1988.1277902126312	113.34102859352221	131.79894319427953	143.74834278484485	261.06523078797875	-97.39576785545796	-2.3479266	-2.3476493	0.4366934608668089	0.4246783958375454	1.7161470025777816	55475	110951
125724	188	2182.6850113868713	103.18042077473915	208.16516105905242	170.3012640661901	273.7701590758298	-105.37323916129023	-0.1224057	-0.1636377	0.5233328983187675	0.5522134073078633	0.22381678521633147	61612	123225
137946	207	2377.6473326683044	112.43112071593528	136.66604061825586	159.30519193983616	278.81024518020547	-111.14049047395338	0.7417152	0.7129934	0.7248885937035083	0.7161729231476783	-1.7132664259523154	67723	135447
150013	220	2586.250488758087	254.46281862679427	295.10466420247974	99.64699470053725	298.2541749590487	-87.58997352380555	4.651409	4.632665	0.6367252321541309	0.6867730182409286	-4.930044513940811	73757	147514
162998	236	2799.4465816020966	264.4348084743263	290.76260080328785	73.9290886966296	293.30515810873686	-7.888710265084214	6.77706	6.8459854	0.8316969577968121	0.9106616628170013	-6.897068667411804	80249	160499
175393	251	2991.8873727321625	215.04820621641485	299.122445808478	121.40805783944008	304.41144833883857	-45.964815893844985	9.204933	9.198822	0.6866146053373814	0.706304749250412	-9.423657712936402	86447	172894
188296	270	3182.6461522579193	172.11244711923862	291.57506118052777	135.75548536568354	299.76990629190914	-49.56633080598651	11.589648	11.508226	0.9209748414158822	0.8653647957742214	-12.3763818359375	92898	185797
200654	287	3392.6237709522247	282.5336054381474	303.4413982695487	78.28917924246119	305.1564655222069	-123.446945867549	14.236625	14.195779	0.8515304146707058	0.8777216000109911	-14.576142053604126	99077	198155
212541	301	3583.347599506378	252.78386883911423	307.5283437486711	124.07431020222519	309.847805770787	-90.88374544728981	16.619352	16.605972	0.9211232228577138	0.9305778220295906	-16.06866991996765	105021	210042
225083	320	3782.3801527023315	300.6724767670578	307.5362283100577	33.84531419356168	308.9073236969988	114.00901151448295	16.120195	16.178497	1.1936007775366306	1.17556225374341	-17.296752052307127	111292	222584
238124	336	3985.1514027118683	273.8370317889616	303.450240747713	103.38239105017156	304.97751366857096	-113.15096766668559	16.841736	16.87966	1.2493190476298333	1.2119472774863242	-18.31143342971802	117812	235625
250000	353	4182.663186311722	302.68176646013467	306.0115497206675	32.93991008806705	308.0215511465617	-23.311221820559396	20.472572	20.500141	1.45675396412611	1.4627664610743523	-19.633489265441895	123750	247501
